"finessGeoDP","annee","duree_cat","baria_t","VOL","TOT","PCT"
"930100037",2024,"(6,225]","SLE",7,89,8
"930100037",2025,"(0,3]","BPG",9,26,35
"930100037",2025,"(0,3]","SLE",14,36,39
"930100037",2025,"(3,6]","BPG",14,26,54
"930100037",2025,"(3,6]","DBP",1,1,100
"930100037",2025,"(3,6]","SLE",18,36,50
"930100037",2025,"(6,225]","BPG",3,26,12
"930100037",2025,"(6,225]","SLE",4,36,11
"940000573",2019,"(0,3]","BPG",44,68,65
"940000573",2019,"(0,3]","DBP",2,7,29
"940000573",2019,"(0,3]","SLE",62,82,76
"940000573",2019,"(3,6]","BPG",19,68,28
"940000573",2019,"(3,6]","DBP",4,7,57
"940000573",2019,"(3,6]","SLE",16,82,20
"940000573",2019,"(6,225]","BPG",5,68,7
"940000573",2019,"(6,225]","DBP",1,7,14
"940000573",2019,"(6,225]","SLE",4,82,5
"940000573",2020,"(0,3]","BPG",47,62,76
"940000573",2020,"(0,3]","DBP",6,9,67
"940000573",2020,"(0,3]","SLE",58,66,88
"940000573",2020,"(3,6]","BPG",12,62,19
"940000573",2020,"(3,6]","DBP",3,9,33
"940000573",2020,"(3,6]","SLE",7,66,11
"940000573",2020,"(6,225]","BPG",3,62,5
"940000573",2020,"(6,225]","SLE",1,66,2
"940000573",2021,"(0,3]","BPG",88,110,80
"940000573",2021,"(0,3]","DBP",4,6,67
"940000573",2021,"(0,3]","SLE",98,109,90
"940000573",2021,"(3,6]","BPG",16,110,15
"940000573",2021,"(3,6]","SLE",10,109,9
"940000573",2021,"(6,225]","BPG",6,110,5
"940000573",2021,"(6,225]","DBP",2,6,33
"940000573",2021,"(6,225]","SLE",1,109,1
"940000573",2022,"(0,3]","BPG",74,101,73
"940000573",2022,"(0,3]","DBP",5,7,71
"940000573",2022,"(0,3]","SLE",58,78,74
"940000573",2022,"(3,6]","BPG",20,101,20
"940000573",2022,"(3,6]","DBP",2,7,29
"940000573",2022,"(3,6]","SLE",19,78,24
"940000573",2022,"(6,225]","BPG",7,101,7
"940000573",2022,"(6,225]","SLE",1,78,1
"940000573",2023,"(0,3]","BPG",59,78,76
"940000573",2023,"(0,3]","DBP",2,2,100
"940000573",2023,"(0,3]","SLE",68,79,86
"940000573",2023,"(3,6]","BPG",16,78,21
"940000573",2023,"(3,6]","SLE",11,79,14
"940000573",2023,"(6,225]","BPG",3,78,4
"940000573",2024,"(0,3]","BPG",64,85,75
"940000573",2024,"(0,3]","DBP",2,2,100
"940000573",2024,"(0,3]","SLE",71,83,86
"940000573",2024,"(3,6]","BPG",13,85,15
"940000573",2024,"(3,6]","SLE",9,83,11
"940000573",2024,"(6,225]","BPG",8,85,9
"940000573",2024,"(6,225]","SLE",3,83,4
"940000573",2025,"[-1,0]","BPG",2,62,3
"940000573",2025,"[-1,0]","SLE",2,60,3
"940000573",2025,"(0,3]","BPG",49,62,79
"940000573",2025,"(0,3]","SLE",49,60,82
"940000573",2025,"(3,6]","BPG",9,62,15
"940000573",2025,"(3,6]","SLE",9,60,15
"940000573",2025,"(6,225]","BPG",2,62,3
