"finessGeoDP","annee","mois","baria_t","TOT_month_tcn","TOT_year_tcn","TOT_month","TOT_year"
"130780521",2021,8,"SLE",1,51,2,73
"130780521",2021,9,"BPG",4,22,8,73
"130780521",2021,9,"SLE",4,51,8,73
"130780521",2021,10,"BPG",4,22,10,73
"130780521",2021,10,"SLE",6,51,10,73
"130780521",2021,11,"BPG",2,22,7,73
"130780521",2021,11,"SLE",5,51,7,73
"130780521",2021,12,"BPG",1,22,5,73
"130780521",2021,12,"SLE",4,51,5,73
"130780521",2022,1,"BPG",1,22,1,51
"130780521",2022,2,"BPG",1,22,4,51
"130780521",2022,2,"SLE",3,29,4,51
"130780521",2022,3,"BPG",4,22,7,51
"130780521",2022,3,"SLE",3,29,7,51
"130780521",2022,4,"BPG",1,22,3,51
"130780521",2022,4,"SLE",2,29,3,51
"130780521",2022,5,"BPG",4,22,5,51
"130780521",2022,5,"SLE",1,29,5,51
"130780521",2022,6,"BPG",3,22,6,51
"130780521",2022,6,"SLE",3,29,6,51
"130780521",2022,7,"BPG",1,22,2,51
"130780521",2022,7,"SLE",1,29,2,51
"130780521",2022,8,"SLE",3,29,3,51
"130780521",2022,9,"BPG",1,22,6,51
"130780521",2022,9,"SLE",5,29,6,51
"130780521",2022,10,"BPG",1,22,1,51
"130780521",2022,11,"BPG",2,22,7,51
"130780521",2022,11,"SLE",5,29,7,51
"130780521",2022,12,"BPG",3,22,6,51
"130780521",2022,12,"SLE",3,29,6,51
"130780521",2023,1,"BPG",1,34,6,70
"130780521",2023,1,"SLE",5,36,6,70
"130780521",2023,2,"BPG",2,34,2,70
"130780521",2023,3,"BPG",3,34,5,70
"130780521",2023,3,"SLE",2,36,5,70
"130780521",2023,4,"BPG",3,34,7,70
"130780521",2023,4,"SLE",4,36,7,70
"130780521",2023,5,"BPG",3,34,6,70
"130780521",2023,5,"SLE",3,36,6,70
"130780521",2023,6,"BPG",1,34,7,70
"130780521",2023,6,"SLE",6,36,7,70
"130780521",2023,7,"BPG",4,34,6,70
"130780521",2023,7,"SLE",2,36,6,70
"130780521",2023,8,"BPG",3,34,7,70
"130780521",2023,8,"SLE",4,36,7,70
"130780521",2023,9,"BPG",5,34,7,70
"130780521",2023,9,"SLE",2,36,7,70
"130780521",2023,10,"BPG",2,34,3,70
"130780521",2023,10,"SLE",1,36,3,70
"130780521",2023,11,"BPG",4,34,7,70
"130780521",2023,11,"SLE",3,36,7,70
"130780521",2023,12,"BPG",3,34,7,70
"130780521",2023,12,"SLE",4,36,7,70
"130780521",2024,1,"BPG",2,34,8,100
"130780521",2024,1,"SLE",6,66,8,100
"130780521",2024,2,"BPG",2,34,8,100
"130780521",2024,2,"SLE",6,66,8,100
"130780521",2024,3,"BPG",3,34,6,100
"130780521",2024,3,"SLE",3,66,6,100
