"GEO";"GEO_OBJECT";"SEX";"AGE";"EP_MEASURE";"OBS_STATUS_FR";TIME_PERIOD;OBS_VALUE
"70";"DEP";"_T";"_T";"POP";"D";2021;234296
"973";"DEP";"_T";"_T";"POP";"D";2021;286618
"11";"DEP";"_T";"_T";"POP";"D";2021;376028
"69";"DEP";"_T";"_T";"POP";"D";2021;1893692
"80";"DEP";"_T";"_T";"POP";"D";2021;566252
"87";"DEP";"_T";"_T";"POP";"D";2021;371691
"38";"DEP";"_T";"_T";"POP";"D";2021;1284948
"24";"DEP";"_T";"_T";"POP";"D";2021;413730
"93";"DEP";"_T";"_T";"POP";"D";2021;1668670
"82";"DEP";"_T";"_T";"POP";"D";2021;263377
"10";"DEP";"_T";"_T";"POP";"D";2021;311329
"83";"DEP";"_T";"_T";"POP";"D";2021;1095337
"73";"DEP";"_T";"_T";"POP";"D";2021;442468
"39";"DEP";"_T";"_T";"POP";"D";2021;258555
"48";"DEP";"_T";"_T";"POP";"D";2021;76519
"67";"DEP";"_T";"_T";"POP";"D";2021;1152662
"58";"DEP";"_T";"_T";"POP";"D";2021;202417
"85";"DEP";"_T";"_T";"POP";"D";2021;699459
"06";"DEP";"_T";"_T";"POP";"D";2021;1103941
"53";"DEP";"_T";"_T";"POP";"D";2021;305933
"90";"DEP";"_T";"_T";"POP";"D";2021;139654
"09";"DEP";"_T";"_T";"POP";"D";2021;154596
"88";"DEP";"_T";"_T";"POP";"D";2021;360673
"29";"DEP";"_T";"_T";"POP";"D";2021;921638
"47";"DEP";"_T";"_T";"POP";"D";2021;331229
"56";"DEP";"_T";"_T";"POP";"D";2021;768687
"971";"DEP";"_T";"_T";"POP";"D";2021;384315
"42";"DEP";"_T";"_T";"POP";"D";2021;769029
"07";"DEP";"_T";"_T";"POP";"D";2021;331415
"36";"DEP";"_T";"_T";"POP";"D";2021;217228
"04";"DEP";"_T";"_T";"POP";"D";2021;166077
"72";"DEP";"_T";"_T";"POP";"D";2021;566058
"972";"DEP";"_T";"_T";"POP";"D";2021;360749
"60";"DEP";"_T";"_T";"POP";"D";2021;828838
"2A";"DEP";"_T";"_T";"POP";"D";2021;162942
"95";"DEP";"_T";"_T";"POP";"D";2021;1256607
"05";"DEP";"_T";"_T";"POP";"D";2021;140976
"33";"DEP";"_T";"_T";"POP";"D";2021;1654970
"12";"DEP";"_T";"_T";"POP";"D";2021;279649
"65";"DEP";"_T";"_T";"POP";"D";2021;230956
"19";"DEP";"_T";"_T";"POP";"D";2021;239784
"59";"DEP";"_T";"_T";"POP";"D";2021;2611293
"13";"DEP";"_T";"_T";"POP";"D";2021;2056943
"41";"DEP";"_T";"_T";"POP";"D";2021;328504
"21";"DEP";"_T";"_T";"POP";"D";2021;535503
"14";"DEP";"_T";"_T";"POP";"D";2021;700633
"54";"DEP";"_T";"_T";"POP";"D";2021;732486
"40";"DEP";"_T";"_T";"POP";"D";2021;422976
"28";"DEP";"_T";"_T";"POP";"D";2021;431277
"89";"DEP";"_T";"_T";"POP";"D";2021;333385
"62";"DEP";"_T";"_T";"POP";"D";2021;1461441
"92";"DEP";"_T";"_T";"POP";"D";2021;1635291
"27";"DEP";"_T";"_T";"POP";"D";2022;601305
"58";"DEP";"_T";"_T";"POP";"D";2022;202299
"86";"DEP";"_T";"_T";"POP";"D";2022;438688
"2A";"DEP";"_T";"_T";"POP";"D";2022;166045
"65";"DEP";"_T";"_T";"POP";"D";2022;231453
"16";"DEP";"_T";"_T";"POP";"D";2022;351603
"82";"DEP";"_T";"_T";"POP";"D";2022;264924
"72";"DEP";"_T";"_T";"POP";"D";2022;566129
"91";"DEP";"_T";"_T";"POP";"D";2022;1324546
"87";"DEP";"_T";"_T";"POP";"D";2022;372438
"75";"DEP";"_T";"_T";"POP";"D";2022;2113705
"11";"DEP";"_T";"_T";"POP";"D";2022;377773
"63";"DEP";"_T";"_T";"POP";"D";2022;664385
"68";"DEP";"_T";"_T";"POP";"D";2022;767800
"93";"DEP";"_T";"_T";"POP";"D";2022;1681725
"37";"DEP";"_T";"_T";"POP";"D";2022;616326
"48";"DEP";"_T";"_T";"POP";"D";2022;76503
"18";"DEP";"_T";"_T";"POP";"D";2022;299496
"61";"DEP";"_T";"_T";"POP";"D";2022;276144
"34";"DEP";"_T";"_T";"POP";"D";2022;1217331
