"";"finessGeoDP";"annee";"vda";"n";"TOT";"PCT"
"3335";"950000364";2022;"ROB";1;121;0,8
"3336";"950000364";2023;"COE";117;119;98,3
"3337";"950000364";2023;"LAP";2;119;1,7
"3338";"950000364";2024;"COE";97;103;94,2
"3339";"950000364";2024;"LAP";6;103;5,8
"3340";"950300202";2020;"COE";74;76;97,4
"3341";"950300202";2020;"LAP";2;76;2,6
"3342";"950300202";2021;"COE";101;102;99
"3343";"950300202";2021;"LAP";1;102;1
"3344";"950300202";2022;"COE";111;111;100
"3345";"950300202";2023;"COE";83;83;100
"3346";"950300202";2024;"COE";38;38;100
"3347";"950300244";2020;"COE";182;195;93,3
"3348";"950300244";2020;"LAP";13;195;6,7
"3349";"950300244";2021;"COE";183;219;83,6
"3350";"950300244";2021;"LAP";36;219;16,4
"3351";"950300244";2022;"COE";193;233;82,8
"3352";"950300244";2022;"LAP";40;233;17,2
"3353";"950300244";2023;"COE";212;246;86,2
"3354";"950300244";2023;"LAP";31;246;12,6
"3355";"950300244";2023;"ROB";3;246;1,2
"3356";"950300244";2024;"COE";162;206;78,6
"3357";"950300244";2024;"LAP";44;206;21,4
"3358";"950300277";2020;"COE";67;67;100
"3359";"950300277";2021;"COE";95;96;99
"3360";"950300277";2021;"ROB";1;96;1
"3361";"950300277";2022;"COE";91;91;100
"3362";"950300277";2023;"COE";62;62;100
"3363";"950300277";2024;"COE";36;36;100
"3364";"950807982";2020;"COE";145;167;86,8
"3365";"950807982";2020;"LAP";9;167;5,4
"3366";"950807982";2020;"ROB";13;167;7,8
"3367";"950807982";2021;"COE";189;205;92,2
"3368";"950807982";2021;"LAP";3;205;1,5
"3369";"950807982";2021;"ROB";13;205;6,3
"3370";"950807982";2022;"COE";180;197;91,4
"3371";"950807982";2022;"LAP";4;197;2
"3372";"950807982";2022;"ROB";13;197;6,6
"3373";"950807982";2023;"COE";165;186;88,7
"3374";"950807982";2023;"LAP";5;186;2,7
"3375";"950807982";2023;"ROB";16;186;8,6
"3376";"950807982";2024;"COE";152;165;92,1
"3377";"950807982";2024;"LAP";2;165;1,2
"3378";"950807982";2024;"ROB";11;165;6,7
"3379";"970100392";2020;"COE";14;14;100
"3380";"970100392";2021;"COE";36;38;94,7
"3381";"970100392";2021;"LAP";1;38;2,6
"3382";"970100392";2021;"ROB";1;38;2,6
"3383";"970100392";2022;"COE";31;41;75,6
"3384";"970100392";2022;"LAP";1;41;2,4
"3385";"970100392";2022;"ROB";9;41;22
"3386";"970100392";2023;"COE";20;22;90,9
"3387";"970100392";2023;"ROB";2;22;9,1
"3388";"970100392";2024;"COE";18;25;72
"3389";"970100392";2024;"LAP";1;25;4
"3390";"970100392";2024;"ROB";6;25;24
"3391";"970107249";2020;"COE";153;154;99,4
"3392";"970107249";2020;"ROB";1;154;0,6
"3393";"970107249";2021;"COE";169;169;100
"3394";"970107249";2022;"COE";208;210;99
"3395";"970107249";2022;"ROB";2;210;1
"3396";"970107249";2023;"COE";223;223;100
"3397";"970107249";2024;"COE";158;159;99,4
"3398";"970107249";2024;"ROB";1;159;0,6
"3399";"970202313";2020;"COE";86;95;90,5
"3400";"970202313";2020;"LAP";8;95;8,4
"3401";"970202313";2020;"ROB";1;95;1,1
"3402";"970202313";2021;"COE";102;115;88,7
"3403";"970202313";2021;"LAP";13;115;11,3
"3404";"970202313";2022;"COE";93;104;89,4
"3405";"970202313";2022;"LAP";11;104;10,6
"3406";"970202313";2023;"COE";102;105;97,1
"3407";"970202313";2023;"LAP";3;105;2,9
"3408";"970202313";2024;"COE";102;103;99
"3409";"970202313";2024;"LAP";1;103;1
"3410";"970211215";2020;"COE";22;26;84,6
"3411";"970211215";2020;"LAP";2;26;7,7
"3412";"970211215";2020;"ROB";2;26;7,7
"3413";"970211215";2021;"COE";12;14;85,7
"3414";"970211215";2021;"LAP";2;14;14,3
"3415";"970211215";2022;"COE";21;36;58,3
"3416";"970211215";2022;"LAP";7;36;19,4
"3417";"970211215";2022;"ROB";8;36;22,2
"3418";"970211215";2023;"COE";30;43;69,8
"3419";"970211215";2023;"LAP";7;43;16,3
"3420";"970211215";2023;"ROB";6;43;14
"3421";"970211215";2024;"COE";19;27;70,4
"3422";"970211215";2024;"LAP";5;27;18,5
"3423";"970211215";2024;"ROB";3;27;11,1
"3424";"970400024";2020;"COE";29;33;87,9
"3425";"970400024";2020;"ROB";4;33;12,1
"3426";"970400024";2021;"COE";15;54;27,8
"3427";"970400024";2021;"LAP";2;54;3,7
"3428";"970400024";2021;"ROB";37;54;68,5
"3429";"970400024";2022;"COE";35;107;32,7
"3430";"970400024";2022;"ROB";72;107;67,3
"3431";"970400024";2023;"COE";18;133;13,5
"3432";"970400024";2023;"LAP";1;133;0,8
"3433";"970400024";2023;"ROB";114;133;85,7
"3434";"970400024";2024;"COE";11;88;12,5
"3435";"970400024";2024;"LAP";1;88;1,1
"3436";"970400024";2024;"ROB";76;88;86,4
"3437";"970400065";2020;"COE";38;45;84,4
"3438";"970400065";2020;"LAP";2;45;4,4
"3439";"970400065";2020;"ROB";5;45;11,1
"3440";"970400065";2021;"COE";29;33;87,9
"3441";"970400065";2021;"LAP";3;33;9,1
"3442";"970400065";2021;"ROB";1;33;3
"3443";"970400065";2022;"COE";50;53;94,3
"3444";"970400065";2022;"LAP";2;53;3,8
"3445";"970400065";2022;"ROB";1;53;1,9
"3446";"970400065";2023;"COE";50;58;86,2
"3447";"970400065";2023;"LAP";8;58;13,8
"3448";"970400065";2024;"COE";42;45;93,3
"3449";"970400065";2024;"LAP";3;45;6,7
"3450";"970462081";2020;"COE";106;106;100
"3451";"970462081";2021;"COE";139;140;99,3
"3452";"970462081";2021;"LAP";1;140;0,7
"3453";"970462081";2022;"COE";158;158;100
"3454";"970462081";2023;"COE";159;159;100
"3455";"970462081";2024;"COE";179;179;100
"3456";"970462107";2020;"COE";131;131;100
"3457";"970462107";2021;"COE";154;155;99,4
"3458";"970462107";2021;"LAP";1;155;0,6
"3459";"970462107";2022;"COE";184;185;99,5
"3460";"970462107";2022;"LAP";1;185;0,5
"3461";"970462107";2023;"COE";143;143;100
"3462";"970462107";2024;"COE";104;105;99
"3463";"970462107";2024;"LAP";1;105;1
