codeInsee;codePostal;longitude;latitude;nomCommune
22220;22110;48,23407174;-3,247117324;PLOUGUERNEVEL
22221;22220;48,80479268;-3,245495635;PLOUGUIEL
22222;22580;48,68223165;-2,931474035;PLOUHA
22223;22200;48,58348893;-3,191532873;PLOUISY
22224;22300;48,71899016;-3,501648878;PLOULEC'H
22225;22970;48,53045872;-3,109565675;PLOUMAGOAR
22226;22300;48,68428321;-3,513929822;PLOUMILLIAU
22227;22780;48,56679456;-3,548350476;PLOUNERIN
22228;22810;48,55148526;-3,444313187;PLOUNEVEZ-MOEDEC
22229;22110;48,28534247;-3,240782093;PLOUNEVEZ-QUINTIN
22231;22160;48,41854277;-3,551504802;PLOURAC'H
22232;22410;48,63125522;-2,882033678;PLOURHAN
22233;22860;48,74162861;-3,093204603;PLOURIVO
22234;22170;48,49730281;-2,9255247;PLOUVARA
22235;22420;48,64781039;-3,536795985;PLOUZELAMBRE
22236;22290;48,66662969;-2,986790175;PLUDUAL
22237;22130;48,52326157;-2,280793258;PLUDUNO
22238;22310;48,61085396;-3,572797759;PLUFUR
22239;22350;48,35602443;-2,114890389;PLUMAUDAN
22240;22250;48,24502969;-2,230911885;PLUMAUGAT
22241;22210;48,10610774;-2,591555626;PLUMIEUX
22242;22240;48,60954452;-2,399785539;PLURIEN
22243;22160;48,39934088;-3,483930749;PLUSQUELLEC
22244;22320;48,27850439;-3,065689609;PLUSSULIEN
22245;22140;48,63637732;-3,371211093;PLUZUNET
22246;22120;48,45855033;-2,622220315;POMMERET
22247;22450;48,72433911;-3,242158514;POMMERIT-JAUDY
22248;22200;48,61801675;-3,102854195;POMMERIT-LE-VICOMTE
22249;22390;48,47400639;-3,284933938;PONT-MELVEZ
22250;22260;48,69983846;-3,159083402;PONTRIEUX
22251;22590;48,57022752;-2,8251719;PORDIC
22253;22450;48,76362434;-3,203802429;POULDOURAN
22254;22140;48,68225242;-3,298023247;PRAT
22255;22210;48,18571811;-2,647854419;LA PRENESSAYE
22256;22260;48,70064413;-3,10832259;QUEMPER-GUEZENNEC
22257;22450;48,72544486;-3,336577554;QUEMPERVEN
22258;22120;48,42729692;-2,657070167;QUESSOY
22259;22100;48,4631269;-2,085628779;QUEVERT
22260;22460;48,24019787;-2,898213903;LE QUILLIO
22261;22400;48,51023539;-2,421789786;QUINTENIC
22262;22800;48,40302182;-2,912210408;QUINTIN
22263;22630;48,3458857;-1,998108562;LE QUIOU
22264;22450;48,74563703;-3,257628028;LA ROCHE-DERRIEN
22265;22300;48,73636647;-3,386035991;ROSPEZ
22266;22110;48,22154277;-3,311797047;ROSTRENEN
22267;22250;48,30698634;-2,369297267;ROUILLAC
22268;22550;48,56144901;-2,335404517;RUCA
22269;22260;48,68675148;-3,227345908;RUNAN
22271;22390;48,48989465;-3,132569784;SAINT-ADRIEN
22272;22200;48,56285065;-3,100817325;SAINT-AGATHON
22273;22400;48,55518849;-2,508939062;SAINT-ALBAN
22274;22630;48,37310038;-2,014214418;SAINT-ANDRE-DES-EAUX
22275;22600;48,13836377;-2,701884795;SAINT-BARNABE
22276;22800;48,37588793;-2,966691446;SAINT-BIHY
22277;22800;48,3903359;-2,863450558;SAINT-BRANDAN
22278;22000;48,51498061;-2,761545528;SAINT-BRIEUC
22279;22600;48,19223793;-2,867514661;SAINT-CARADEC
22280;22100;48,41957148;-2,054609965;SAINT-CARNE
22281;22150;48,40360556;-2,750037881;SAINT-CARREUC
22282;22380;48,60371556;-2,249122961;SAINT-CAST-LE-GUILDO
22283;22260;48,6699371;-3,136673262;SAINT-CLET
22284;22480;48,41232309;-3,076089405;SAINT-CONNAN
22285;22530;48,1800139;-2,925930801;SAINT-CONNEC
22286;22400;48,51868957;-2,384055633;SAINT-DENOUAL
22287;22800;48,46577536;-2,886593509;SAINT-DONAN
22288;22210;48,08569877;-2,644028589;SAINT-ETIENNE-DU-GUE-DE-L'ISLE
22289;22720;48,45534829;-3,052272745;SAINT-FIACRE
22290;22570;48,22781059;-3,089126806;SAINT-GELVEN
22291;22800;48,42215362;-3,006565255;SAINT-GILDAS
22292;22330;48,24353718;-2,550252306;SAINT-GILLES-DU-MENE
22293;22290;48,65702263;-3,090569687;SAINT-GILLES-LES-BOIS
22294;22480;48,3796645;-3,087109925;SAINT-GILLES-PLIGEAUX
22295;22530;48,25036747;-2,969514126;SAINT-GILLES-VIEUX-MARCHE
22296;22510;48,35226579;-2,521566445;SAINT-GLEN
22297;22330;48,28010616;-2,55526922;SAINT-GOUENO
22298;22530;48,21101169;-2,913803004;SAINT-GUEN
22299;22100;48,46611547;-1,959196412;SAINT-HELEN
22300;22460;48,27377877;-2,811917496;SAINT-HERVE
22302;22750;48,58799648;-2,193246836;SAINT-JACUT-DE-LA-MER
22303;22330;48,27815824;-2,486232263;SAINT-JACUT-DU-MENE
22304;22170;48,55258139;-3,034028248;SAINT-JEAN-KERDANIEL
22305;22350;48,26634056;-2,178497415;SAINT-JOUAN-DE-L'ISLE
22306;22630;48,36252672;-1,954326395;SAINT-JUDOCE
22307;22940;48,44809906;-2,816856047;SAINT-JULIEN
22308;22630;48,36199211;-2,054766365;SAINT-JUVAT
22309;22230;48,23220698;-2,354235642;SAINT-LAUNEUC
22310;22140;48,61534692;-3,241927824;SAINT-LAURENT
22311;22130;48,552198;-2,235075519;SAINT-LORMEL
22312;22350;48,33735136;-2,068550412;SAINT-MADEN
22313;22320;48,30559929;-2,964568598;SAINT-MARTIN-DES-PRES
22314;22600;48,11141257;-2,767696371;SAINT-MAUDAN
22315;22980;48,45475746;-2,183316187;SAINT-MAUDEZ
22316;22320;48,26459565;-3,015539067;SAINT-MAYEUX
22317;22980;48,44159734;-2,257356891;SAINT-MELOIR-DES-BOIS
22318;22980;48,46273401;-2,221490597;SAINT-MICHEL-DE-PLELAN
22319;22300;48,67444489;-3,557060295;SAINT-MICHEL-EN-GREVE
22320;22160;48,35373469;-3,339420596;SAINT-NICODEME
22321;22480;48,32282291;-3,164050506;SAINT-NICOLAS-DU-PELEM
22322;22720;48,48229506;-3,091020524;SAINT-PEVER
22323;22550;48,55742036;-2,293231262;SAINT-POTAN
22324;22700;48,7821597;-3,448980671;SAINT-QUAY-PERROS
22325;22410;48,6542475;-2,843823377;SAINT-QUAY-PORTRIEUX
22326;22270;48,44281599;-2,421622908;SAINT-RIEUL
22327;22100;48,49145617;-2,018059178;SAINT-SAMSON-SUR-RANCE
22328;22160;48,38668992;-3,374244565;SAINT-SERVAIS
22330;22460;48,24593004;-2,840985153;SAINT-THELO
22331;22480;48,26669336;-3,169364581;SAINTE-TREPHINE
22332;22510;48,3933042;-2,541244997;SAINT-TRIMOEL
22333;22230;48,24339298;-2,456973393;SAINT-VRAN
22334;22570;48,27775051;-3,114746707;SAINT-IGEAUX
22335;22720;48,43541674;-3,064497178;SENVEN-LEHART
22337;22250;48,3321357;-2,320052316;SEVIGNAC
22338;22200;48,63792291;-3,167109076;SQUIFFIEC
22339;22100;48,48793671;-2,054028566;TADEN
22340;22140;48,67511085;-3,400136201;TONQUEDEC
22341;22640;48,39988004;-2,388812413;TRAMAIN
22342;22980;48,405764;-2,162871103;TREBEDAN
22343;22560;48,77077759;-3,557692386;TREBEURDEN
22344;22340;48,31023831;-3,4821094;TREBRIVAN
22345;22510;48,34569195;-2,558533314;TREBRY
22346;22510;48,34659011;-2,605712193;TREDANIEL
22347;22220;48,79087189;-3,20159345;TREDARZEC
22348;22250;48,36539036;-2,222903752;TREDIAS
22349;22300;48,70753681;-3,564412526;TREDREZ-LOCQUEMEAU
22350;22310;48,65424931;-3,566415353;TREDUDER
22351;22340;48,29853141;-3,527316823;TREFFRIN
22352;22630;48,33739464;-2,024184252;TREFUMEL
22353;22730;48,8173218;-3,506403331;TREGASTEL
22354;22540;48,5568884;-3,254623451;TREGLAMUS
22356;22590;48,56785772;-2,883218076;TREGOMEUR
22357;22650;48,56673721;-2,183836362;TREGON
22358;22200;48,61419774;-3,162930626;TREGONNEAU
22359;22420;48,59464643;-3,402660973;TREGROM
22360;22950;48,48007577;-2,745064215;TREGUEUX
22361;22290;48,60023757;-2,942882379;TREGUIDEL
22362;22220;48,78504658;-3,231787765;TREGUIER
22363;22660;48,80178556;-3,369677895;TRELEVERN
22364;22100;48,43039903;-2,106335509;TRELIVAN
22365;22110;48,32998657;-3,266749561;TREMARGAT
22366;22310;48,60477526;-3,61826523;TREMEL
22367;22590;48,55045934;-2,860446581;TREMELOIR
22368;22490;48,56082487;-2,063988617;TREMEREUC
22369;22250;48,35100886;-2,268425123;TREMEUR
22370;22290;48,67110858;-3,032060207;TREMEVEN
22371;22230;48,19142599;-2,302142926;TREMOREL
22372;22440;48,52481902;-2,847907745;TREMUSON
22373;22340;48,1867141;-3,530084602;TREOGAN
22375;22290;48,61038664;-2,974875939;TRESSIGNAUX
22376;22600;48,21601429;-2,806983122;TREVE
22377;22410;48,65984803;-2,873759348;TREVENEUC
22378;22290;48,65949771;-3,054573266;TREVEREC
22379;22660;48,81213558;-3,344991787;TREVOU-TREGUIGNEC
22380;22100;48,38942819;-2,068250845;TREVRON
22381;22450;48,75464087;-3,360535316;TREZENY
22383;22450;48,76075167;-3,224576453;TROGUERY
22384;22460;48,28062601;-2,847616968;UZEL
22385;22690;48,48793345;-1,982876223;LA VICOMTE-SUR-RANCE
22386;22800;48,39100511;-3,003850122;LE VIEUX-BOURG
22387;22420;48,61387368;-3,438167406;LE VIEUX-MARCHE
22388;22980;48,43654212;-2,151792156;VILDE-GUINGALAN
22389;22120;48,46850159;-2,680981203;YFFINIAC
22390;22930;48,71517677;-3,045600137;YVIAS
22391;22350;48,34885273;-2,170940678;YVIGNAC-LA-TOUR
23001;23150;46,08616908;2,024301014;AHUN
23002;23380;46,21098876;1,995962311;AJAIN
23003;23200;45,98784169;2,154214929;ALLEYRAT
23004;23000;46,25409127;1,849979648;ANZEME
23005;23700;46,06041295;2,434718246;ARFEUILLE-CHATAIN
23006;23210;46,07244154;1,567310508;ARRENES
23007;23480;45,99914392;2,084033612;ARS
23008;23200;45,95090175;2,165880548;AUBUSSON
23009;23170;46,23678092;2,332565439;AUGE
23010;23210;46,0799619;1,727635411;AUGERES
23011;23210;46,09181003;1,695864171;AULON
23012;23400;45,87098141;1,633899384;AURIAT
23013;23700;46,02630515;2,506652929;AUZANCES
23014;23210;46,0866252;1,76923265;AZAT-CHATENET
23015;23160;46,35245858;1,474922726;AZERABLES
23016;23120;45,9368272;1,997569204;BANIZE
23017;23260;45,85775384;2,412454502;BASVILLE
23018;23160;46,35023581;1,531981341;BAZELAT
23019;23260;45,76476464;2,283464402;BEISSAT
23020;23190;45,98154131;2,292912003;BELLEGARDE-EN-MARCHE
23021;23210;46,11770515;1,629402167;BENEVENT-L'ABBAYE
23022;23270;46,36161709;2,069706423;BETETE
23023;23140;46,2296903;2,085150769;BLAUDEIX
23024;23200;45,96348237;2,111861705;BLESSAC
23025;23220;46,32301933;1,913450631;BONNAT
