"finessGeoDP","baria_t","n","pct"
"380012658","BPG",58,19.4
"380012658","DBP",1,0.3
"380012658","SLE",240,80.3
"380780197","BPG",23,6.5
"380780197","SLE",332,93.5
"380785956","ANN",2,0.2
"380785956","BPG",273,23.8
"380785956","DBP",2,0.2
"380785956","SLE",868,75.8
"400000105","BPG",399,90.3
"400000105","SLE",43,9.7
"410000020","BPG",65,28.1
"410000020","DBP",8,3.5
"410000020","SLE",158,68.4
"420010050","ANN",12,1.1
"420010050","BPG",366,32.2
"420010050","SLE",757,66.7
"420011413","ANN",26,3.1
"420011413","BPG",393,46.2
"420011413","SLE",432,50.8
"420785354","ANN",1,0.3
"420785354","BPG",84,27.9
"420785354","SLE",216,71.8
"430000117","ANN",1,0.6
"430000117","BPG",13,7.6
"430000117","SLE",156,91.8
"440000271","ANN",4,0.6
"440000271","BPG",356,54.5
"440000271","DBP",7,1.1
"440000271","SLE",286,43.8
"440000412","ANN",1,0.1
"440000412","BPG",152,18.3
"440000412","DBP",3,0.4
"440000412","SLE",674,81.2
"440029338","ANN",5,0.8
"440029338","BPG",156,24.3
"440029338","DBP",1,0.2
"440029338","SLE",479,74.7
"440033819","BPG",268,41.2
"440033819","DBP",6,0.9
"440033819","SLE",377,57.9
"440050433","ANN",1,0.2
"440050433","BPG",106,20.9
"440050433","DBP",2,0.4
"440050433","SLE",398,78.5
"450002613","ANN",1,0.1
"450002613","BPG",475,67.6
"450002613","SLE",227,32.3
"450010079","BPG",19,11.9
"450010079","SLE",140,88.1
"460000045","BPG",76,46.9
"460000045","SLE",86,53.1
"470000027","BPG",101,36.2
"470000027","SLE",178,63.8
"470000423","BPG",11,7.1
"470000423","DBP",1,0.6
"470000423","SLE",143,92.3
"470016049","ANN",13,3
"470016049","BPG",60,13.8
"470016049","DBP",2,0.5
"470016049","SLE",360,82.8
"490000049","ANN",2,1.3
"490000049","BPG",90,58.4
"490000049","SLE",62,40.3
"490014909","ANN",5,0.3
"490014909","BPG",1255,65.9
"490014909","DBP",86,4.5
"490014909","SLE",558,29.3
"500000146","BPG",48,39.3
"500000146","SLE",74,60.7
"500000187","BPG",75,41
"500000187","SLE",108,59
"500000203","BPG",145,90.1
"500000203","SLE",16,9.9
"500000450","BPG",140,50.7
"500000450","SLE",136,49.3
"500002357","ANN",5,2.2
"500002357","BPG",4,1.8
"500002357","SLE",215,96
"510002447","BPG",214,60.6
"510002447","SLE",139,39.4
"510024979","ANN",55,5.5
"510024979","BPG",375,37.8
"510024979","SLE",561,56.6
"540000478","BPG",238,79.6
"540000478","SLE",61,20.4
"540000486","BPG",298,84.7
"540000486","DBP",2,0.6
"540000486","SLE",52,14.8
"540001096","BPG",126,46
"540001096","SLE",148,54
"540002698","ANN",1,0.1
"540002698","BPG",790,78.3
"540002698","DBP",22,2.2
"540002698","SLE",196,19.4
"540026895","BPG",385,86.1
"540026895","DBP",1,0.2
"540026895","SLE",61,13.6
"550000178","ANN",18,15.1
"550000178","SLE",101,84.9
"560000127","ANN",1,0.5
"560000127","BPG",148,79.6
"560000127","SLE",37,19.9
"560000135","BPG",134,59.8
"560000135","SLE",90,40.2
"560000143","BPG",125,64.1
"560000143","SLE",70,35.9
"560008799","ANN",17,2.6
"560008799","BPG",421,63.9
"560008799","SLE",221,33.5
"560029068","BPG",135,90.6
"560029068","SLE",14,9.4
"570000059","BPG",60,14.1
"570000059","SLE",367,85.9
"570000083","BPG",27,5
"570000083","SLE",518,95
"570000349","BPG",169,90.4
"570000349","SLE",18,9.6
"570000356","BPG",56,81.2
"570000356","SLE",13,18.8
"570000646","BPG",117,36.4
"570000646","SLE",204,63.6
"570026252","BPG",249,85.9
"570026252","SLE",41,14.1
"570026682","BPG",184,80.7
"570026682","DBP",5,2.2
"570026682","SLE",39,17.1
"590000337","BPG",70,41.2
"590000337","SLE",100,58.8
"590000428","BPG",132,59.7
"590000428","SLE",89,40.3
"590000592","ANN",1,0.3
"590000592","BPG",10,2.7
"590000592","DBP",2,0.5
"590000592","SLE",356,96.5
"590000618","ANN",1,0.2
"590000618","BPG",234,47.6
"590000618","SLE",257,52.2
"590006896","BPG",84,43.8
"590006896","SLE",108,56.2
"590008041","ANN",58,3.5
"590008041","BPG",309,18.4
"590008041","DBP",4,0.2
"590008041","SLE",1308,77.9
"590052056","BPG",49,8.9
"590052056","DBP",1,0.2
"590052056","SLE",499,90.9
"590780268","ANN",2,0.5
"590780268","BPG",140,36.4
"590780268","SLE",243,63.1
"590780284","ANN",8,1.3
"590780284","BPG",298,48.8
"590780284","SLE",305,49.9
"590780383","ANN",77,4.9
"590780383","BPG",527,33.7
"590780383","DBP",1,0.1
"590780383","SLE",961,61.4
"590801106","ANN",2,1.2
"590801106","BPG",58,34.5
"590801106","SLE",108,64.3
"590811279","ANN",53,4.8
"590811279","BPG",708,63.8
"590811279","DBP",4,0.4
"590811279","SLE",344,31
"590813507","ANN",1,0.4
"590813507","BPG",121,51.1
"590813507","SLE",115,48.5
"590815056","ANN",2,0.2
"590815056","BPG",558,68.2
"590815056","SLE",258,31.5
"590816310","ANN",1,0.3
"590816310","BPG",32,9.5
"590816310","DBP",3,0.9
"590816310","SLE",300,89.3
"590817458","ANN",12,5.2
"590817458","BPG",1,0.4
"590817458","SLE",220,94.4
"600000467","BPG",23,9.1
"600000467","SLE",231,90.9
"600010862","BPG",6,4.9
"600010862","SLE",116,95.1
"600100754","ANN",35,3.4
"600100754","BPG",42,4.1
"600100754","SLE",947,92.5
"600110175","ANN",2,0.4
"600110175","BPG",198,41.4
"600110175","SLE",278,58.2
"600113476","BPG",89,18.9
"600113476","SLE",382,81.1
"610000069","BPG",151,56.8
"610000069","SLE",115,43.2
"610000119","BPG",87,48.6
"610000119","SLE",92,51.4
"620000224","ANN",15,8.7
"620000224","SLE",158,91.3
"620000653","ANN",4,1.5
"620000653","BPG",75,28
"620000653","SLE",189,70.5
"620003202","BPG",84,39.8
