"finessGeoDP","annee","mois","n"
"050000348",2023,3,6
"050000348",2023,4,4
"050000348",2023,5,3
"050000348",2023,6,1
"050000348",2023,8,1
"050000348",2023,9,3
"050000348",2023,10,1
"050000348",2023,11,4
"050000348",2023,12,4
"050000348",2024,1,6
"050000348",2024,2,5
"050000348",2024,3,3
"050000348",2024,4,2
"050000348",2024,5,2
"050000348",2024,6,3
"050000348",2024,7,9
"050000348",2024,8,3
"050000348",2024,9,7
"050000348",2024,10,8
"050000348",2024,11,2
"050000348",2024,12,1
"050000348",2025,1,7
"050000348",2025,2,2
"050000348",2025,3,2
"050000348",2025,4,5
"050000348",2025,5,1
"050000348",2025,6,2
"060000478",2021,1,6
"060000478",2021,2,6
"060000478",2021,3,1
"060000478",2021,5,2
"060000478",2021,6,4
"060000478",2021,7,5
"060000478",2021,8,3
"060000478",2021,9,5
"060000478",2021,10,3
"060000478",2021,11,1
"060000478",2021,12,1
"060000478",2022,1,3
"060000478",2022,2,3
"060000478",2022,3,5
"060000478",2022,4,2
"060000478",2022,5,4
"060000478",2022,6,3
"060000478",2022,7,1
"060000478",2022,8,4
"060000478",2022,10,2
"060000478",2022,12,1
"060000478",2023,1,4
"060000478",2023,2,1
"060000478",2023,3,3
"060000478",2023,4,4
"060000478",2023,5,5
"060000478",2023,6,3
"060000478",2023,7,4
"060000478",2023,8,2
"060000478",2023,9,3
"060000478",2023,10,1
"060000478",2023,11,3
"060000478",2023,12,1
"060000478",2024,1,3
"060000478",2024,3,1
"060000478",2024,4,3
"060000478",2024,5,3
"060000478",2024,6,1
"060000478",2024,7,4
"060000478",2024,8,1
"060000478",2024,9,2
"060000478",2024,10,2
"060000478",2024,11,2
"060000478",2024,12,3
"060000478",2025,1,3
"060000478",2025,2,2
"060000478",2025,4,1
"060000478",2025,5,2
"060000478",2025,6,1
"060000510",2021,1,11
"060000510",2021,2,18
"060000510",2021,3,15
"060000510",2021,4,9
"060000510",2021,5,14
"060000510",2021,6,11
"060000510",2021,7,10
"060000510",2021,8,12
"060000510",2021,9,1
"060000510",2021,10,3
"060000510",2021,11,8
"060000510",2021,12,7
"060000510",2022,1,7
"060000510",2022,2,5
"060000510",2022,3,14
"060000510",2022,4,11
"060000510",2022,5,16
"060000510",2022,6,13
"060000510",2022,7,3
"060000510",2022,8,1
"060000510",2022,9,8
"060000510",2022,10,12
"060000510",2022,11,14
"060000510",2022,12,3
"060000510",2023,1,9
"060000510",2023,2,6
"060000510",2023,3,9
"060000510",2023,4,9
"060000510",2023,5,5
"060000510",2023,6,8
"060000510",2023,7,4
"060000510",2023,8,8
"060000510",2023,9,5
"060000510",2023,10,7
"060000510",2023,11,5
"060000510",2023,12,3
"060000510",2024,1,12
"060000510",2024,2,9
"060000510",2024,3,10
"060000510",2024,4,7
"060000510",2024,5,4
"060000510",2024,6,9
"060000510",2024,7,8
"060000510",2024,8,5
"060000510",2024,9,5
"060000510",2024,10,5
"060000510",2024,11,9
"060000510",2024,12,5
"060000510",2025,1,9
"060000510",2025,2,8
"060000510",2025,3,7
"060000510",2025,4,5
"060000510",2025,5,5
"060000510",2025,6,2
"060021417",2021,1,9
"060021417",2021,2,12
"060021417",2021,3,14
"060021417",2021,4,6
"060021417",2021,5,3
"060021417",2021,6,3
"060021417",2021,7,5
"060021417",2021,8,4
"060021417",2021,9,6
"060021417",2021,10,6
"060021417",2021,11,8
"060021417",2021,12,1
"060021417",2022,2,6
"060021417",2022,3,15
"060021417",2022,4,4
"060021417",2022,5,9
"060021417",2022,6,7
"060021417",2022,7,3
"060021417",2022,8,4
"060021417",2022,9,14
"060021417",2022,10,5
"060021417",2022,11,4
"060021417",2022,12,3
"060021417",2023,1,12
"060021417",2023,2,7
"060021417",2023,3,11
"060021417",2023,4,12
"060021417",2023,5,11
"060021417",2023,6,6
"060021417",2023,7,5
"060021417",2023,8,4
"060021417",2023,9,9
"060021417",2023,10,8
"060021417",2023,11,3
"060021417",2023,12,4
"060021417",2024,1,12
"060021417",2024,2,6
"060021417",2024,3,9
"060021417",2024,4,6
"060021417",2024,5,5
"060021417",2024,6,5
"060021417",2024,7,11
"060021417",2024,8,5
"060021417",2024,9,8
"060021417",2024,10,7
"060021417",2024,11,6
"060021417",2024,12,3
"060021417",2025,1,10
"060021417",2025,2,7
"060021417",2025,3,5
"060021417",2025,4,4
"060021417",2025,5,6
"060021417",2025,6,8
"060780491",2021,1,12
"060780491",2021,2,11
"060780491",2021,3,11
"060780491",2021,4,8
"060780491",2021,5,8
"060780491",2021,6,12
"060780491",2021,7,1
"060780491",2021,8,4
"060780491",2021,9,6
"060780491",2021,10,6
"060780491",2021,11,7
"060780491",2021,12,6
"060780491",2022,1,4
"060780491",2022,2,15
"060780491",2022,3,8
"060780491",2022,4,13
"060780491",2022,5,7
"060780491",2022,6,7
"060780491",2022,7,5
"060780491",2022,8,4
"060780491",2022,9,5
"060780491",2022,10,5
"060780491",2022,11,10
"060780491",2022,12,5
"060780491",2023,1,4
"060780491",2023,2,4
"060780491",2023,3,6
"060780491",2023,4,7
"060780491",2023,5,4
"060780491",2023,6,9
"060780491",2023,7,2
"060780491",2023,8,4
"060780491",2023,9,1
"060780491",2023,10,7
"060780491",2023,11,8
"060780491",2023,12,6
"060780491",2024,1,10
"060780491",2024,2,7
"060780491",2024,3,9
"060780491",2024,4,5
"060780491",2024,5,1
"060780491",2024,6,4
"060780491",2024,7,12
"060780491",2024,8,10
"060780491",2024,9,9
"060780491",2024,10,8
"060780491",2024,11,14
"060780491",2024,12,7
"060780491",2025,1,11
"060780491",2025,2,9
"060780491",2025,3,12
"060780491",2025,4,14
"060780491",2025,5,10
"060780491",2025,6,12
"060780590",2021,1,9
"060780590",2021,2,5
"060780590",2021,3,8
"060780590",2021,4,1
"060780590",2021,5,13
"060780590",2021,6,4
"060780590",2021,7,8
"060780590",2021,8,4
"060780590",2021,9,5
"060780590",2021,10,3
"060780590",2021,11,10
"060780590",2021,12,9
"060780590",2022,2,10
"060780590",2022,3,14
"060780590",2022,4,9
"060780590",2022,5,7
"060780590",2022,6,3
"060780590",2022,7,1
"060780590",2022,8,5
"060780590",2022,9,2
"060780590",2022,10,4
"060780590",2022,11,3
"060780590",2022,12,2
"060780590",2023,1,3
"060780590",2023,2,4
"060780590",2023,3,3
"060780590",2023,4,3
"060780590",2023,5,5
"060780590",2023,6,1
"060780590",2023,7,2
"060780590",2023,8,3
"060780590",2023,9,2
"060780590",2023,10,3
"060780590",2023,11,3
"060780590",2023,12,1
"060780590",2024,1,8
"060780590",2024,2,7
"060780590",2024,3,8
"060780590",2024,4,9
"060780590",2024,5,5
"060780590",2024,6,3
"060780590",2024,9,1
"060780590",2024,10,4
"060780590",2024,11,4
"060780590",2024,12,2
"060780590",2025,1,1
"060780590",2025,2,3
"060780590",2025,3,3
"060780590",2025,4,2
"060780590",2025,5,1
"060780590",2025,6,3
"060780715",2021,1,11
"060780715",2021,2,6
"060780715",2021,3,9
"060780715",2021,4,10
"060780715",2021,5,11
"060780715",2021,6,10
"060780715",2021,7,6
"060780715",2021,8,2
"060780715",2021,9,6
"060780715",2021,10,7
"060780715",2021,11,3
"060780715",2021,12,3
"060780715",2022,1,6
"060780715",2022,2,4
"060780715",2022,3,2
"060780715",2022,4,5
"060780715",2022,5,5
"060780715",2022,6,9
"060780715",2022,7,6
"060780715",2022,8,2
"060780715",2022,9,5
"060780715",2022,10,9
"060780715",2022,11,7
"060780715",2022,12,9
"060780715",2023,1,8
"060780715",2023,2,5
"060780715",2023,3,8
"060780715",2023,4,2
"060780715",2023,5,6
"060780715",2023,6,9
"060780715",2023,7,9
"060780715",2023,8,2
"060780715",2023,9,8
"060780715",2023,10,5
"060780715",2023,11,3
"060780715",2023,12,6
"060780715",2024,1,7
"060780715",2024,2,4
"060780715",2024,3,4
"060780715",2024,4,9
"060780715",2024,5,4
"060780715",2024,6,6
"060780715",2024,7,8
"060780715",2025,1,10
"060780715",2025,2,9
"060780715",2025,3,8
"060780715",2025,4,6
"060780715",2025,5,12
"060780715",2025,6,15
"060789195",2021,1,12
"060789195",2021,2,14
"060789195",2021,3,15
"060789195",2021,4,13
"060789195",2021,5,15
"060789195",2021,6,30
"060789195",2021,7,20
"060789195",2021,8,6
"060789195",2021,9,29
"060789195",2021,10,22
"060789195",2021,11,10
"060789195",2021,12,9
"060789195",2022,1,16
"060789195",2022,2,26
"060789195",2022,3,29
"060789195",2022,4,18
"060789195",2022,5,28
"060789195",2022,6,21
"060789195",2022,7,15
"060789195",2022,8,3
"060789195",2022,9,13
"060789195",2022,10,17
"060789195",2022,11,19
"060789195",2022,12,16
"060789195",2023,1,18
"060789195",2023,2,19
"060789195",2023,3,18
"060789195",2023,4,22
"060789195",2023,5,11
"060789195",2023,6,23
"060789195",2023,7,9
"060789195",2023,8,15
"060789195",2023,9,16
"060789195",2023,10,10
"060789195",2023,11,20
"060789195",2023,12,7
"060789195",2024,1,14
"060789195",2024,2,9
"060789195",2024,3,6
"060789195",2024,4,14
"060789195",2024,5,7
"060789195",2024,6,13
"060789195",2024,7,13
"060789195",2024,8,2
"060789195",2024,9,10
"060789195",2024,10,10
"060789195",2024,11,6
"060789195",2024,12,6
"060789195",2025,1,8
"060789195",2025,2,5
"060789195",2025,3,9
"060789195",2025,4,6
"060789195",2025,5,6
"060789195",2025,6,7
"060800166",2021,1,7
"060800166",2021,2,2
"060800166",2021,3,1
"060800166",2021,4,3
"060800166",2021,5,1
"060800166",2021,6,6
"060800166",2021,7,4
"060800166",2021,9,3
"060800166",2021,10,1
"060800166",2021,11,3
"060800166",2021,12,3
"060800166",2022,2,1
"060800166",2022,3,4
"060800166",2022,4,4
"060800166",2022,5,3
"060800166",2022,6,3
"060800166",2022,7,2
"060800166",2022,8,2
"060800166",2022,9,3
"060800166",2022,10,7
"060800166",2022,11,2
"060800166",2022,12,2
"060800166",2023,1,4
"060800166",2023,2,3
"060800166",2023,3,3
"060800166",2023,4,2
"060800166",2023,5,4
"060800166",2023,6,1
"060800166",2023,7,1
"060800166",2023,8,4
"060800166",2023,9,1
"060800166",2023,10,4
"060800166",2023,11,3
"060800166",2023,12,2
"060800166",2024,1,1
"060800166",2024,2,1
"060800166",2024,6,1
"060800166",2024,9,2
"060800166",2024,10,2
"060800166",2024,11,3
"060800166",2025,1,1
"060800166",2025,4,1
"060800166",2025,6,3
"070780424",2021,1,3
"070780424",2021,2,3
"070780424",2021,3,18
"070780424",2021,4,6
"070780424",2021,5,8
"070780424",2021,6,26
"070780424",2021,7,6
"070780424",2021,8,6
"070780424",2021,9,11
"070780424",2021,10,17
"070780424",2021,11,7
"070780424",2021,12,3
"070780424",2022,1,3
"070780424",2022,2,13
"070780424",2022,3,21
"070780424",2022,4,6
"070780424",2022,5,14
"070780424",2022,6,13
"070780424",2022,7,3
"070780424",2022,8,3
"070780424",2022,9,10
"070780424",2022,10,10
"070780424",2022,11,16
"070780424",2022,12,7
"070780424",2023,1,7
"070780424",2023,2,15
"070780424",2023,3,11
"070780424",2023,4,8
"070780424",2023,5,5
"070780424",2023,6,11
"070780424",2023,7,7
