"finessGeoDP","baria_t","n","pct"
"590000428","SLE",25,39.7
"590000592","SLE",49,100
"590000618","BPG",37,40.2
"590000618","SLE",55,59.8
"590006896","BPG",21,61.8
"590006896","SLE",13,38.2
"590008041","ANN",14,4.3
"590008041","BPG",72,22
"590008041","SLE",242,73.8
"590052056","BPG",12,11.2
"590052056","SLE",95,88.8
"590780268","BPG",20,30.3
"590780268","SLE",46,69.7
"590780284","BPG",77,57.9
"590780284","SLE",56,42.1
"590780383","ANN",23,6.6
"590780383","BPG",119,34.3
"590780383","SLE",205,59.1
"590801106","BPG",14,40
"590801106","SLE",21,60
"590811279","ANN",8,4
"590811279","BPG",142,70.6
"590811279","SLE",51,25.4
"590813507","BPG",26,47.3
"590813507","SLE",29,52.7
"590815056","BPG",110,82.7
"590815056","SLE",23,17.3
"590816310","BPG",14,17.3
"590816310","SLE",67,82.7
"590817458","ANN",4,10
"590817458","SLE",36,90
"600000467","BPG",8,9.9
"600000467","SLE",73,90.1
"600010862","SLE",15,100
"600100754","ANN",6,3.6
"600100754","BPG",5,3
"600100754","SLE",156,93.4
"600110175","ANN",1,1
"600110175","BPG",34,35.4
"600110175","SLE",61,63.5
"600113476","BPG",35,34.3
"600113476","SLE",67,65.7
"610000069","BPG",52,71.2
"610000069","SLE",21,28.8
"610000119","BPG",17,43.6
"610000119","SLE",22,56.4
"620000224","ANN",1,2.1
"620000224","SLE",46,97.9
"620000653","BPG",21,36.8
"620000653","SLE",36,63.2
"620003202","BPG",22,53.7
"620003202","SLE",19,46.3
"620003376","ANN",2,2.7
"620003376","BPG",34,46.6
"620003376","SLE",37,50.7
"620006049","ANN",1,1.9
"620006049","BPG",29,55.8
"620006049","SLE",22,42.3
"620100099","BPG",11,22.4
"620100099","SLE",38,77.6
"620100750","ANN",2,1.4
"620100750","BPG",27,18.8
"620100750","SLE",115,79.9
"620101311","BPG",22,46.8
"620101311","SLE",25,53.2
"620101501","ANN",1,1.8
"620101501","SLE",55,98.2
"620118513","ANN",1,1.9
"620118513","BPG",25,48.1
"620118513","SLE",26,50
"630780211","BPG",61,42.4
"630780211","SLE",83,57.6
"630781268","BPG",7,18.9
"630781268","SLE",30,81.1
"630781839","SLE",39,100
"640000162","BPG",28,47.5
"640000162","SLE",31,52.5
"640000600","BPG",16,48.5
"640000600","SLE",17,51.5
"640018206","BPG",36,43.4
"640018206","SLE",47,56.6
"640780946","BPG",106,67.9
"640780946","SLE",50,32.1
"660000084","BPG",8,26.7
"660000084","SLE",22,73.3
"660006305","BPG",4,8.3
"660006305","SLE",44,91.7
"660780669","BPG",26,23.2
"660780669","SLE",86,76.8
"660780784","ANN",1,3
"660780784","BPG",6,18.2
"660780784","DBP",1,3
"660780784","SLE",25,75.8
"670000025","BPG",67,34.4
"670000025","SLE",128,65.6
"670000165","BPG",18,36.7
"670000165","SLE",31,63.3
"670018068","BPG",34,12.6
"670018068","SLE",235,87.4
"670780170","BPG",50,31.8
"670780170","SLE",107,68.2
"670780212","BPG",57,66.3
"670780212","SLE",29,33.7
"670780378","BPG",27,50
"670780378","DBP",1,1.9
"670780378","SLE",26,48.1
"670780386","BPG",6,60
"670780386","SLE",4,40
