"finessGeoDP","TOT","LOS_7_nb","LOS_7_pct"
"620000653",268,8,3
"620003202",211,4,1.9
"620003376",443,5,1.1
"620006049",219,9,4.1
"620100099",271,6,2.2
"620100750",961,14,1.5
"620101311",159,3,1.9
"620101501",371,0,0
"620118513",262,7,2.7
"630780211",218,7,3.2
"630780369",252,8,3.2
"630781268",252,13,5.2
"630781839",206,4,1.9
"640000162",359,11,3.1
"640000600",152,7,4.6
"640018206",417,18,4.3
"640780946",758,13,1.7
"660000084",145,11,7.6
"660006305",283,18,6.4
"660780669",585,3,0.5
"660780784",424,16,3.8
"670000025",870,6,0.7
"670000165",244,6,2.5
"670018068",1289,4,0.3
"670780170",724,7,1
"670780212",480,6,1.3
"670780378",230,7,3
"670780386",108,3,2.8
"670783273",112,12,10.7
"680000494",1390,6,0.4
"680000684",722,13,1.8
"680004546",185,15,8.1
"690000575",363,7,1.9
"690022959",223,2,0.9
"690023239",1684,9,0.5
"690023411",417,16,3.8
"690041124",380,5,1.3
"690054713",81,1,1.2
"690780390",549,11,2
"690780416",209,4,1.9
"690780648",3512,4,0.1
"690780655",1267,13,1
"690783154",591,34,5.8
"690793468",478,6,1.3
"690805361",177,7,4
"690807367",224,2,0.9
"710006859",233,11,4.7
"710010067",170,59,34.7
"710780917",354,10,2.8
"710978263",248,22,8.9
"710978289",284,25,8.8
"720000199",350,8,2.3
"720017748",201,5,2.5
"730000031",290,18,6.2
"730004298",163,2,1.2
"740014345",416,13,3.1
"740780424",428,5,1.2
"740781141",675,14,2.1
"750000523",272,18,6.6
"750100125",513,40,7.8
"750100232",890,72,8.1
"750150104",537,7,1.3
"750150237",380,16,4.2
"750300071",1100,24,2.2
"750300154",840,13,1.5
"750300360",848,6,0.7
"750300766",515,2,0.4
"750300881",667,2,0.3
"750300915",554,9,1.6
"750301145",757,25,3.3
"750803447",514,32,6.2
"760000018",218,1,0.5
"760000158",561,23,4.1
"760000463",258,12,4.7
"760021329",997,10,1
"760025312",494,4,0.8
"760027292",250,4,1.6
"760780510",212,6,2.8
"760780619",420,12,2.9
"760780825",121,0,0
"760805770",180,17,9.4
"760921809",875,10,1.1
"770000156",108,18,16.7
"770000164",175,165,94.3
"770000446",223,5,2.2
"770019032",319,10,3.1
"770300135",217,4,1.8
"770300143",564,1,0.2
"780000287",275,7,2.5
"780000311",456,14,3.1
"780300208",484,0,0
"780300323",173,6,3.5
"780300414",1409,22,1.6
"780300422",220,11,5
"790009948",329,6,1.8
"800002503",200,0,0
"800006124",559,9,1.6
"800009466",137,2,1.5
"800009920",455,5,1.1
"810101170",484,6,1.2
"810101444",390,4,1
"820000040",193,5,2.6
"830000311",213,3,1.4
"830000345",419,6,1.4
"830100251",451,2,0.4
"830100434",476,29,6.1
"830100459",1352,18,1.3
"840000400",748,7,0.9
"840000418",170,1,0.6
"840000467",361,24,6.6
"850000118",149,1,0.7
"850000142",285,10,3.5
"860000223",895,29,3.2
"860010321",133,2,1.5
"870000064",217,26,12
"870000288",1034,59,5.7
"890000169",817,2,0.2
"890975550",726,2,0.3
"900000035",117,2,1.7
"900003039",545,12,2.2
"910000306",116,10,8.6
"910020254",227,26,11.5
"910300011",165,1,0.6
"910300144",710,17,2.4
"910300177",910,13,1.4
"910300300",205,10,4.9
"910803543",743,5,0.7
"920000643",201,5,2.5
"920000650",178,5,2.8
"920029550",488,3,0.6
"920100013",371,27,7.3
"920100021",1506,156,10.4
"920100047",267,22,8.2
"920300753",206,3,1.5
"930000286",255,21,8.2
"930000328",503,21,4.2
"930100037",551,57,10.3
"930300025",575,36,6.3
"930300082",236,27,11.4
"930300116",393,3,0.8
"930300298",204,1,0.5
"930300553",476,5,1.1
"930300587",177,2,1.1
"930300595",489,5,1
"940000573",845,32,3.8
"940006679",657,10,1.5
"940300494",341,10,2.9
"940813033",829,1,0.1
"950000307",188,7,3.7
"950000323",239,8,3.3
"950000331",290,6,2.1
"950000364",480,5,1
"950300202",336,34,10.1
"950300244",802,18,2.2
"950300277",256,12,4.7
"950807982",779,10,1.3
"970100392",135,8,5.9
"970107249",794,38,4.8
"970202313",376,18,4.8
"970400024",408,21,5.1
"970400057",45,2,4.4
"970400065",196,33,16.8
"970462081",676,22,3.3
"970462107",600,31,5.2
