"finessGeoDP","annee","duree_cat","LOS_nb","LOS_pct"
"110000023",2021,"[-1,0]",4,3.9
"110000023",2021,"(0,3]",66,64.1
"110000023",2021,"(3,6]",30,29.1
"110000023",2021,"(6,225]",3,2.9
"110000023",2022,"[-1,0]",4,3.9
"110000023",2022,"(0,3]",66,64.1
"110000023",2022,"(3,6]",31,30.1
"110000023",2022,"(6,225]",2,1.9
"110000023",2023,"[-1,0]",2,1.9
"110000023",2023,"(0,3]",79,74.5
"110000023",2023,"(3,6]",23,21.7
"110000023",2023,"(6,225]",2,1.9
"110000023",2024,"[-1,0]",2,2.2
"110000023",2024,"(0,3]",60,67.4
"110000023",2024,"(3,6]",24,27
"110000023",2024,"(6,225]",3,3.4
"110000023",2025,"[-1,0]",1,1.3
"110000023",2025,"(0,3]",67,84.8
"110000023",2025,"(3,6]",9,11.4
"110000023",2025,"(6,225]",2,2.5
"110000056",2021,"(3,6]",42,93.3
"110000056",2021,"(6,225]",3,6.7
"110000056",2022,"(3,6]",46,90.2
"110000056",2022,"(6,225]",5,9.8
"110000056",2023,"(3,6]",31,88.6
"110000056",2023,"(6,225]",4,11.4
"110000056",2024,"(3,6]",32,78
"110000056",2024,"(6,225]",9,22
"110000056",2025,"(3,6]",16,88.9
"110000056",2025,"(6,225]",2,11.1
"130000409",2021,"(0,3]",35,97.2
"130000409",2021,"(3,6]",1,2.8
"130000409",2022,"(0,3]",54,96.4
"130000409",2022,"(3,6]",2,3.6
"130000409",2023,"[-1,0]",1,2
"130000409",2023,"(0,3]",46,93.9
"130000409",2023,"(3,6]",1,2
"130000409",2023,"(6,225]",1,2
"130000409",2024,"[-1,0]",14,43.8
"130000409",2024,"(0,3]",17,53.1
"130000409",2024,"(6,225]",1,3.1
"130000409",2025,"[-1,0]",22,88
"130000409",2025,"(0,3]",2,8
"130000409",2025,"(6,225]",1,4
"130001225",2021,"(3,6]",54,94.7
"130001225",2021,"(6,225]",3,5.3
"130001225",2022,"(3,6]",70,94.6
"130001225",2022,"(6,225]",4,5.4
