"lib_reg","annee","clav_cat_90","TOT","COMPL_nb","COMPL_pct"
"PROVENCE-ALPES-CÃ”TE D'AZUR",2022,3,3286,59,1.8
"PROVENCE-ALPES-CÃ”TE D'AZUR",2022,4,3286,21,0.64
"PROVENCE-ALPES-CÃ”TE D'AZUR",2022,5,3286,1,0.03
"PROVENCE-ALPES-CÃ”TE D'AZUR",2023,3,3126,61,1.95
"PROVENCE-ALPES-CÃ”TE D'AZUR",2023,4,3126,22,0.7
"PROVENCE-ALPES-CÃ”TE D'AZUR",2023,5,3126,3,0.1
"PROVENCE-ALPES-CÃ”TE D'AZUR",2024,3,2810,39,1.39
"PROVENCE-ALPES-CÃ”TE D'AZUR",2024,4,2810,17,0.6
"PROVENCE-ALPES-CÃ”TE D'AZUR",2024,5,2810,1,0.04
"PROVENCE-ALPES-CÃ”TE D'AZUR",2025,3,1592,38,2.39
"PROVENCE-ALPES-CÃ”TE D'AZUR",2025,4,1592,14,0.88
