"finessGeoDP","annee","n"
"210987558",2025,26
"220000012",2021,39
"220000012",2022,22
"220000012",2023,35
"220000012",2024,26
"220000012",2025,19
"220005599",2021,33
"220005599",2022,35
"220005599",2023,37
"220005599",2024,27
"220005599",2025,20
"220022800",2021,115
"220022800",2022,92
"220022800",2023,60
"220022800",2024,85
"220022800",2025,43
"250011848",2021,171
"250011848",2022,213
"250011848",2023,217
"250011848",2024,204
"250011848",2025,97
"260000260",2021,119
"260000260",2022,93
"260000260",2023,84
"260000260",2024,85
"260000260",2025,48
"260003017",2021,44
"260003017",2022,64
"260003017",2023,55
"260003017",2024,69
"260003017",2025,43
"280000084",2021,33
"280000084",2022,33
"280000084",2023,26
"280000084",2024,31
"280000084",2025,15
"280504267",2021,57
"280504267",2022,58
"280504267",2023,50
"280504267",2024,49
"280504267",2025,22
"280505777",2022,6
"280505777",2023,50
"280505777",2024,69
"280505777",2025,45
"290000025",2021,27
"290000025",2022,22
"290000025",2023,44
"290000025",2024,36
"290000025",2025,15
"290000215",2021,51
"290000215",2022,35
"290004324",2021,55
"290004324",2022,82
"290004324",2023,102
"290004324",2024,71
"290004324",2025,34
"290019777",2021,70
"290019777",2022,86
"290019777",2023,80
"290019777",2024,69
"290019777",2025,45
"290036540",2022,22
"290036540",2023,49
"290036540",2024,36
"290036540",2025,27
"2A0000139",2021,31
"2A0000139",2022,29
"2A0000139",2023,24
"2A0000139",2024,20
"2A0000139",2025,7
"2B0000145",2021,97
"2B0000145",2022,74
"2B0000145",2023,68
"2B0000145",2024,64
"2B0000145",2025,48
"300000023",2021,37
"300000023",2022,42
"300000023",2023,20
"300000023",2024,30
"300000023",2025,28
"300780137",2021,111
"300780137",2022,57
"300780137",2023,49
"300780137",2024,34
"300780137",2025,14
"300782117",2021,259
"300782117",2022,220
"300782117",2023,196
"300782117",2024,213
"300782117",2025,85
"300788502",2021,244
"300788502",2022,243
"300788502",2023,154
"300788502",2024,102
"300788502",2025,75
"310026927",2021,45
"310026927",2022,52
"310026927",2023,68
"310026927",2024,61
"310026927",2025,32
"310780283",2021,113
"310780283",2022,115
"310780283",2023,117
"310780283",2024,107
"310780283",2025,45
"310780382",2021,71
"310780382",2022,64
"310780382",2023,54
"310780382",2024,54
"310780382",2025,20
"310781000",2021,661
"310781000",2022,720
"310781000",2023,530
"310781000",2024,472
"310781000",2025,182
"310781505",2021,142
"310781505",2022,131
"310781505",2023,176
"310781505",2024,176
"310781505",2025,75
"310783055",2021,113
"310783055",2022,124
"310783055",2023,127
"310783055",2024,99
"310783055",2025,73
"330000340",2021,94
"330000340",2022,93
"330000340",2023,58
"330000340",2024,57
"330000340",2025,32
"330780115",2021,78
"330780115",2022,48
"330780115",2023,49
"330780115",2024,49
"330780115",2025,15
"330780263",2021,106
"330780263",2022,117
"330780263",2023,85
"330780263",2024,85
"330780263",2025,37
"330780479",2021,61
"330780479",2022,75
"330780479",2023,56
"330780479",2024,78
"330780479",2025,33
"330780511",2021,21
"330780511",2022,35
"330780511",2023,35
"330780511",2024,49
"330780511",2025,16
"330780529",2021,232
"330780529",2022,216
"330780529",2023,215
"330780529",2024,228
"330780529",2025,135
"330781402",2021,195
"330781402",2022,191
"330781402",2023,229
"330781402",2024,230
"330781402",2025,129
"330782582",2021,79
"330782582",2022,55
"330782582",2023,58
"330782582",2024,41
"330782582",2025,25
"330783648",2021,88
"330783648",2022,98
"330783648",2023,69
"330783648",2024,68
"330783648",2025,38
"340000033",2021,55
"340000033",2022,59
"340000033",2023,77
"340000033",2024,71
"340000033",2025,46
"340009885",2021,40
"340009885",2022,36
"340009885",2023,43
"340009885",2024,45
"340009885",2025,32
"340015502",2021,332
"340015502",2022,268
"340015502",2023,239
"340015502",2024,191
"340015502",2025,99
"340015965",2021,182
"340015965",2022,148
"340015965",2023,156
"340015965",2024,148
"340015965",2025,68
"340024314",2021,44
"340024314",2022,63
"340024314",2023,50
"340024314",2024,31
"340024314",2025,20
"340780667",2021,75
"340780667",2022,74
"340780667",2023,73
"340780667",2024,69
"340780667",2025,35
"340780675",2021,102
"340780675",2022,111
"340780675",2023,124
"340780675",2024,131
"340780675",2025,25
"340780741",2021,50
"340780741",2022,40
"340780741",2023,41
"340780741",2024,58
"340780741",2025,50
"340782036",2021,235
"340782036",2022,273
"340782036",2023,256
"340782036",2024,226
"340782036",2025,138
"350000121",2021,397
"350000121",2022,320
"350000121",2023,333
"350000121",2024,319
"350000121",2025,138
"350000139",2021,18
"350000139",2022,30
"350000139",2023,35
"350000139",2024,71
"350000139",2025,40
"350000147",2021,50
"350000147",2022,52
"350000147",2023,42
"350000147",2024,50
"350000147",2025,18
"350000741",2021,49
"350000741",2022,46
"350000741",2023,42
"350000741",2025,13
"360000129",2021,24
"360000129",2022,45
"360000129",2023,33
"360000129",2024,57
"360000129",2025,48
"370000093",2021,166
"370000093",2022,140
"370000093",2023,155
"370000093",2024,130
"370000093",2025,70
"370004467",2021,41
"370004467",2022,62
"370004467",2023,53
"370004467",2024,41
"370004467",2025,24
"370007569",2021,54
"370007569",2022,54
"370007569",2023,57
"370007569",2024,48
"370007569",2025,8
"380000067",2021,105
"380000067",2022,102
"380000067",2023,111
"380000067",2024,115
"380000067",2025,50
"380000174",2021,34
"380000174",2022,42
"380000174",2023,32
"380000174",2024,63
"380000174",2025,25
"380012658",2021,78
"380012658",2022,93
"380012658",2023,68
"380012658",2024,48
"380012658",2025,12
"380780197",2021,87
"380780197",2022,55
"380780197",2023,65
"380780197",2024,107
"380780197",2025,41
"380785956",2021,335
"380785956",2022,253
"380785956",2023,243
"380785956",2024,209
"380785956",2025,105
"400000105",2021,88
"400000105",2022,94
"400000105",2023,92
"400000105",2024,123
"400000105",2025,45
"410000020",2021,54
"410000020",2022,55
"410000020",2023,62
"410000020",2024,41
"410000020",2025,19
"420010050",2021,296
"420010050",2022,269
"420010050",2023,218
"420010050",2024,213
"420010050",2025,139
"420011413",2021,175
"420011413",2022,197
"420011413",2023,188
"420011413",2024,203
"420011413",2025,88
"420785354",2021,59
"420785354",2022,78
"420785354",2023,59
"420785354",2024,65
"420785354",2025,40
"430000117",2021,47
"430000117",2022,42
"430000117",2023,25
"430000117",2024,42
"430000117",2025,14
"440000271",2021,156
"440000271",2022,177
"440000271",2023,126
"440000271",2024,138
"440000271",2025,56
"440000412",2021,193
"440000412",2022,225
"440000412",2023,161
"440000412",2024,156
"440000412",2025,95
"440029338",2021,158
"440029338",2022,153
"440029338",2023,139
"440029338",2024,128
"440029338",2025,63
"440033819",2021,156
"440033819",2022,135
"440033819",2023,158
"440033819",2024,129
"440033819",2025,73
"440050433",2021,123
"440050433",2022,121
"440050433",2023,122
"440050433",2024,86
"440050433",2025,55
"450002613",2021,134
"450002613",2022,162
"450002613",2023,172
"450002613",2024,154
"450002613",2025,81
"450010079",2021,50
"450010079",2022,34
"450010079",2023,35
"450010079",2024,28
"450010079",2025,12
"460000045",2021,35
"460000045",2022,34
"460000045",2023,36
"460000045",2024,35
"460000045",2025,22
"470000027",2021,28
"470000027",2022,61
"470000027",2023,68
"470000027",2024,74
"470000027",2025,48
"470000423",2021,23
"470000423",2022,42
"470000423",2023,39
"470000423",2024,35
"470000423",2025,16
"470016049",2021,104
"470016049",2022,93
"470016049",2023,103
"470016049",2024,98
"470016049",2025,37
"490000049",2021,24
"490000049",2022,38
"490000049",2023,41
"490000049",2024,31
"490000049",2025,20
"490014909",2021,462
"490014909",2022,460
"490014909",2023,417
"490014909",2024,415
"490014909",2025,150
"500000146",2023,23
"500000146",2024,56
"500000146",2025,43
"500000187",2021,49
"500000187",2022,42
"500000187",2023,50
"500000187",2024,28
"500000187",2025,14
"500000203",2021,39
"500000203",2022,40
"500000203",2023,55
"500000203",2024,27
"500000450",2021,67
"500000450",2022,66
"500000450",2023,53
"500000450",2024,58
"500000450",2025,32
"500002357",2021,32
"500002357",2022,51
"500002357",2023,54
"500002357",2024,54
"500002357",2025,33
"510002447",2021,48
"510002447",2022,69
"510002447",2023,100
"510002447",2024,92
"510002447",2025,44
"510024979",2021,240
"510024979",2022,222
"510024979",2023,230
"510024979",2024,180
"510024979",2025,119
"540000478",2021,54
"540000478",2022,65
"540000478",2023,62
"540000478",2024,69
"540000478",2025,49
"540000486",2021,210
"540000486",2022,142
"540001096",2021,49
"540001096",2022,50
"540001096",2023,60
"540001096",2024,78
"540001096",2025,37
"540002698",2021,188
"540002698",2022,237
"540002698",2023,218
"540002698",2024,241
"540002698",2025,125
"540026895",2022,43
"540026895",2023,195
"540026895",2024,128
"540026895",2025,81
"550000178",2021,37
"550000178",2022,27
"550000178",2023,38
"550000178",2024,17
"560000127",2021,37
"560000127",2022,36
"560000127",2023,46
"560000127",2024,47
"560000127",2025,20
"560000135",2021,44
"560000135",2022,55
"560000135",2023,51
"560000135",2024,55
"560000135",2025,19
"560000143",2021,50
"560000143",2022,38
"560000143",2023,47
"560000143",2024,36
"560000143",2025,24
"560008799",2021,179
"560008799",2022,176
"560008799",2023,157
"560008799",2024,108
"560008799",2025,39
"560029068",2021,39
"560029068",2022,40
"560029068",2023,36
"560029068",2024,22
"560029068",2025,12
"570000059",2021,124
"570000059",2022,116
"570000059",2023,95
"570000059",2024,65
"570000059",2025,27
"570000083",2021,155
"570000083",2022,124
"570000083",2023,109
"570000083",2024,100
"570000083",2025,57
"570000349",2021,28
"570000349",2022,59
"570000349",2023,50
"570000349",2024,35
"570000349",2025,15
"570000356",2023,22
"570000356",2024,37
"570000356",2025,10
"570000646",2021,61
"570000646",2022,57
"570000646",2023,98
"570000646",2024,67
"570000646",2025,38
"570026252",2021,54
"570026252",2022,63
"570026252",2023,72
"570026252",2024,64
"570026252",2025,37
"570026682",2021,39
"570026682",2022,73
"570026682",2023,52
"570026682",2024,48
"570026682",2025,16
"590000337",2021,32
"590000337",2022,37
"590000337",2023,22
"590000337",2024,49
"590000337",2025,30
"590000428",2021,17
"590000428",2022,45
"590000428",2023,64
"590000428",2024,58
"590000428",2025,37
"590000592",2021,118
"590000592",2022,78
"590000592",2023,82
"590000592",2024,58
"590000592",2025,33
"590000618",2021,124
"590000618",2022,112
"590000618",2023,108
"590000618",2024,98
"590000618",2025,50
"590006896",2021,46
"590006896",2022,43
"590006896",2023,48
"590006896",2024,36
"590006896",2025,19
"590008041",2021,374
"590008041",2022,403
"590008041",2023,369
"590008041",2024,352
"590008041",2025,181
"590052056",2021,158
"590052056",2022,104
"590052056",2023,124
"590052056",2024,109
"590052056",2025,54
"590780268",2021,90
"590780268",2022,94
"590780268",2023,96
"590780268",2024,70
"590780268",2025,35
"590780284",2021,113
"590780284",2022,122
"590780284",2023,143
"590780284",2024,167
"590780284",2025,66
"590780383",2021,401
"590780383",2022,370
"590780383",2023,314
"590780383",2024,304
"590780383",2025,177
"590801106",2021,34
"590801106",2022,50
"590801106",2023,44
"590801106",2024,12
"590801106",2025,28
"590811279",2021,273
"590811279",2022,270
"590811279",2023,265
"590811279",2024,210
"590811279",2025,91
"590813507",2021,47
"590813507",2022,54
"590813507",2023,50
"590813507",2024,52
"590813507",2025,34
"590815056",2021,191
"590815056",2022,186
"590815056",2023,212
"590815056",2024,164
"590815056",2025,65
"590816310",2021,61
"590816310",2022,76
"590816310",2023,77
"590816310",2024,78
"590816310",2025,44
"590817458",2021,58
"590817458",2022,61
"590817458",2023,45
"590817458",2024,46
"590817458",2025,23
"600000467",2021,24
"600000467",2022,29
"600000467",2023,71
"600000467",2024,90
"600000467",2025,40
"600010862",2021,33
"600010862",2022,26
"600010862",2023,32
"600010862",2024,31
"600100754",2021,284
"600100754",2022,253
"600100754",2023,208
"600100754",2024,183
"600100754",2025,96
"600110175",2021,94
"600110175",2022,109
"600110175",2023,101
"600110175",2024,106
"600110175",2025,68
"600113476",2021,111
"600113476",2022,108
"600113476",2023,93
"600113476",2024,104
"600113476",2025,55
"610000069",2021,69
"610000069",2022,52
"610000069",2023,50
"610000069",2024,55
"610000069",2025,40
"610000119",2021,44
"610000119",2022,44
"610000119",2023,33
"610000119",2024,41
"610000119",2025,17
"620000224",2021,24
"620000224",2022,30
"620000224",2023,49
"620000224",2024,47
"620000224",2025,23
"620000653",2021,54
"620000653",2022,55
"620000653",2023,65
"620000653",2024,58
"620000653",2025,36
"620003202",2021,57
"620003202",2022,40
"620003202",2023,53
"620003202",2024,49
"620003202",2025,12
"620003376",2021,142
"620003376",2022,102
"620003376",2023,78
"620003376",2024,88
"620003376",2025,33
"620006049",2021,42
"620006049",2022,54
"620006049",2023,43
"620006049",2024,53
"620006049",2025,27
"620100099",2021,40
"620100099",2022,53
"620100099",2023,93
"620100099",2024,60
"620100099",2025,25
"620100750",2021,259
"620100750",2022,240
"620100750",2023,206
"620100750",2024,133
"620100750",2025,123
"620101311",2021,26
"620101311",2022,30
"620101311",2023,28
"620101311",2024,55
"620101311",2025,20
"620101501",2021,95
"620101501",2022,109
"620101501",2023,82
"620101501",2024,53
"620101501",2025,32
"620118513",2021,48
"620118513",2022,43
"620118513",2023,82
"620118513",2024,50
"620118513",2025,39
"630780211",2023,5
"630780211",2024,135
"630780211",2025,78
"630780369",2021,77
"630780369",2022,74
"630780369",2023,101
"630781268",2021,82
"630781268",2022,63
"630781268",2023,47
"630781268",2024,40
"630781268",2025,20
"630781839",2021,45
"630781839",2022,41
"630781839",2023,52
"630781839",2024,48
"630781839",2025,20
"640000162",2021,85
"640000162",2022,87
"640000162",2023,85
"640000162",2024,76
"640000162",2025,26
"640000600",2021,39
"640000600",2022,31
"640000600",2023,30
"640000600",2024,39
"640000600",2025,13
"640018206",2021,97
"640018206",2022,91
"640018206",2023,89
"640018206",2024,99
"640018206",2025,41
"640780946",2021,140
"640780946",2022,144
"640780946",2023,214
"640780946",2024,197
"640780946",2025,63
"660000084",2021,25
"660000084",2022,38
"660000084",2023,35
"660000084",2024,32
"660000084",2025,15
"660006305",2021,60
"660006305",2022,72
"660006305",2023,67
"660006305",2024,62
"660006305",2025,22
"660780669",2021,148
"660780669",2022,122
"660780669",2023,132
"660780669",2024,143
"660780669",2025,40
"660780784",2021,144
"660780784",2022,132
"660780784",2023,73
"660780784",2024,60
"660780784",2025,15
"670000025",2021,186
"670000025",2022,167
"670000025",2023,211
"670000025",2024,215
"670000025",2025,91
"670000165",2021,64
"670000165",2022,57
"670000165",2023,49
"670000165",2024,47
"670000165",2025,27
"670018068",2021,299
"670018068",2022,281
"670018068",2023,279
"670018068",2024,283
"670018068",2025,147
"670780170",2021,159
"670780170",2022,150
"670780170",2023,164
"670780170",2024,135
"670780170",2025,116
"670780212",2021,124
"670780212",2022,115
"670780212",2023,102
"670780212",2024,82
"670780212",2025,57
"670780378",2021,41
"670780378",2022,58
"670780378",2023,61
"670780378",2024,41
"670780378",2025,29
"670780386",2021,23
"670780386",2022,29
"670780386",2023,30
"670780386",2024,26
"670783273",2021,37
"670783273",2022,25
"670783273",2023,37
"670783273",2024,11
"670783273",2025,2
"680000494",2021,393
"680000494",2022,321
"680000494",2023,300
"680000494",2024,247
"680000494",2025,129
"680000684",2021,140
"680000684",2022,149
"680000684",2023,151
"680000684",2024,184
"680000684",2025,98
"680004546",2021,20
"680004546",2022,43
"680004546",2023,48
"680004546",2024,54
"680004546",2025,20
"690000575",2021,110
"690000575",2022,67
"690000575",2023,94
"690000575",2024,63
"690000575",2025,29
"690022959",2021,30
"690022959",2022,54
"690022959",2023,51
"690022959",2024,51
"690022959",2025,37
"690023239",2021,503
"690023239",2022,349
"690023239",2023,343
"690023239",2024,320
"690023239",2025,169
"690023411",2021,149
"690023411",2022,83
"690023411",2023,87
"690023411",2024,61
"690023411",2025,37
"690041124",2021,94
"690041124",2022,86
"690041124",2023,79
"690041124",2024,82
"690041124",2025,39
"690054713",2024,57
"690054713",2025,24
"690780390",2021,220
"690780390",2022,166
"690780390",2023,111
"690780390",2024,46
"690780390",2025,6
"690780416",2021,95
"690780416",2022,53
"690780416",2023,61
"690780648",2021,978
"690780648",2022,794
"690780648",2023,749
"690780648",2024,663
"690780648",2025,328
"690780655",2021,272
"690780655",2022,312
"690780655",2023,297
"690780655",2024,255
"690780655",2025,131
"690783154",2021,173
"690783154",2022,124
"690783154",2023,133
"690783154",2024,104
"690783154",2025,57
"690793468",2021,122
"690793468",2022,113
"690793468",2023,102
"690793468",2024,85
"690793468",2025,56
"690805361",2021,25
"690805361",2022,41
"690805361",2023,43
"690805361",2024,49
"690805361",2025,19
"690807367",2021,58
"690807367",2022,42
"690807367",2023,50
"690807367",2024,39
"690807367",2025,35
"710006859",2021,92
"710006859",2022,65
"710006859",2023,47
"710006859",2024,22
"710006859",2025,7
"710010067",2021,36
"710010067",2022,30
"710010067",2023,50
"710010067",2024,37
"710010067",2025,17
"710780917",2021,105
"710780917",2022,64
"710780917",2023,65
"710780917",2024,78
"710780917",2025,42
"710978263",2021,49
"710978263",2022,69
"710978263",2023,44
"710978263",2024,55
"710978263",2025,31
"710978289",2021,66
"710978289",2022,51
"710978289",2023,57
"710978289",2024,67
"710978289",2025,43
"720000199",2021,82
"720000199",2022,85
"720000199",2023,73
"720000199",2024,69
"720000199",2025,41
"720017748",2021,53
"720017748",2022,40
"720017748",2023,47
"720017748",2024,47
"720017748",2025,14
"730000031",2021,60
"730000031",2022,66
"730000031",2023,54
"730000031",2024,79
"730000031",2025,31
"730004298",2021,53
"730004298",2022,39
"730004298",2023,36
"730004298",2024,27
"730004298",2025,8
"740014345",2021,109
"740014345",2022,101
"740014345",2023,82
"740014345",2024,92
"740014345",2025,32
"740780424",2021,116
"740780424",2022,104
"740780424",2023,85
"740780424",2024,76
"740780424",2025,47
"740781141",2021,135
"740781141",2022,147
"740781141",2023,152
"740781141",2024,169
"740781141",2025,72
"750000523",2021,86
"750000523",2022,74
"750000523",2023,51
"750000523",2024,34
"750000523",2025,27
"750100125",2021,130
"750100125",2022,124
"750100125",2023,112
"750100125",2024,95
"750100125",2025,52
"750100232",2021,180
"750100232",2022,210
"750100232",2023,206
"750100232",2024,180
"750100232",2025,114
"750150104",2021,158
"750150104",2022,150
"750150104",2023,139
"750150104",2024,75
"750150104",2025,15
"750150237",2021,68
"750150237",2022,69
"750150237",2023,82
"750150237",2024,110
"750150237",2025,51
"750300071",2021,318
"750300071",2022,223
"750300071",2023,223
"750300071",2024,210
"750300071",2025,126
"750300154",2021,302
"750300154",2022,218
"750300154",2023,132
"750300154",2024,131
"750300154",2025,57
"750300360",2021,212
"750300360",2022,213
"750300360",2023,182
"750300360",2024,142
"750300360",2025,99
"750300766",2021,94
"750300766",2022,93
"750300766",2023,81
"750300766",2024,144
"750300766",2025,103
"750300881",2021,226
"750300881",2022,208
"750300881",2023,162
"750300881",2024,71
"750300915",2021,236
"750300915",2022,14
"750300915",2023,173
"750300915",2024,92
"750300915",2025,39
"750301145",2021,201
"750301145",2022,173
"750301145",2023,138
"750301145",2024,154
"750301145",2025,91
"750803447",2021,139
"750803447",2022,107
"750803447",2023,108
"750803447",2024,94
"750803447",2025,66
"760000018",2021,34
"760000018",2022,41
"760000018",2023,66
"760000018",2024,55
"760000018",2025,22
"760000158",2021,149
"760000158",2022,160
"760000158",2023,101
"760000158",2024,95
"760000158",2025,56
"760000463",2021,28
"760000463",2022,66
"760000463",2023,57
"760000463",2024,74
"760000463",2025,33
"760021329",2021,226
"760021329",2022,212
"760021329",2023,219
"760021329",2024,229
"760021329",2025,111
"760025312",2021,148
"760025312",2022,118
"760025312",2023,102
"760025312",2024,72
"760025312",2025,54
"760027292",2021,69
"760027292",2022,49
"760027292",2023,50
"760027292",2024,63
"760027292",2025,19
"760780510",2021,52
"760780510",2022,52
"760780510",2023,40
"760780510",2024,35
"760780510",2025,33
"760780619",2021,111
"760780619",2022,87
"760780619",2023,93
"760780619",2024,93
"760780619",2025,36
"760780825",2021,47
"760780825",2022,38
"760780825",2023,36
"760805770",2021,33
"760805770",2022,45
"760805770",2023,47
"760805770",2024,45
"760805770",2025,10
"760921809",2021,222
"760921809",2022,210
"760921809",2023,164
"760921809",2024,169
"760921809",2025,110
"770000156",2021,27
"770000156",2022,28
"770000156",2023,29
"770000156",2024,24
"770000164",2021,51
"770000164",2022,45
"770000164",2023,37
"770000164",2024,34
"770000164",2025,8
"770000446",2021,42
"770000446",2022,49
"770000446",2023,58
"770000446",2024,46
"770000446",2025,28
"770019032",2021,69
"770019032",2022,76
"770019032",2023,59
"770019032",2024,79
"770019032",2025,36
"770300135",2021,38
"770300135",2022,20
"770300135",2023,55
"770300135",2024,66
"770300135",2025,38
"770300143",2021,164
"770300143",2022,146
"770300143",2023,110
"770300143",2024,100
"770300143",2025,44
"780000287",2021,76
"780000287",2022,61
"780000287",2023,59
"780000287",2024,65
"780000287",2025,14
"780000311",2021,237
"780000311",2022,78
"780000311",2023,41
"780000311",2024,67
"780000311",2025,33
"780300208",2021,61
"780300208",2022,142
"780300208",2023,152
"780300208",2024,80
"780300208",2025,49
"780300323",2021,81
"780300323",2022,54
"780300323",2023,23
"780300323",2024,15
"780300414",2021,386
"780300414",2022,392
"780300414",2023,275
"780300414",2024,228
"780300414",2025,128
"780300422",2021,61
"780300422",2022,48
"780300422",2023,42
"780300422",2024,45
"780300422",2025,24
"790009948",2021,61
"790009948",2022,74
"790009948",2023,70
"790009948",2024,76
"790009948",2025,48
"800002503",2021,45
"800002503",2022,29
"800002503",2023,40
"800002503",2024,52
"800002503",2025,34
"800006124",2021,141
"800006124",2022,137
"800006124",2023,130
"800006124",2024,103
"800006124",2025,48
"800009466",2021,6
"800009466",2022,34
"800009466",2023,48
"800009466",2024,49
"800009920",2021,104
"800009920",2022,117
"800009920",2023,93
"800009920",2024,90
"800009920",2025,51
"810101170",2021,120
"810101170",2022,101
"810101170",2023,105
"810101170",2024,104
"810101170",2025,54
"810101444",2021,110
"810101444",2022,107
"810101444",2023,93
"810101444",2024,80
"820000040",2021,65
"820000040",2022,55
"820000040",2023,32
"820000040",2024,27
"820000040",2025,14
"830000311",2021,86
"830000311",2022,52
"830000311",2023,45
"830000311",2024,19
"830000311",2025,11
"830000345",2021,106
"830000345",2022,93
"830000345",2023,100
"830000345",2024,74
"830000345",2025,46
"830100251",2021,96
"830100251",2022,78
"830100251",2023,73
"830100251",2024,124
"830100251",2025,80
"830100434",2021,155
"830100434",2022,114
"830100434",2023,85
"830100434",2024,81
"830100434",2025,41
"830100459",2021,394
"830100459",2022,312
"830100459",2023,305
"830100459",2024,218
"830100459",2025,123
"840000400",2021,251
"840000400",2022,202
"840000400",2023,204
"840000400",2024,91
"840000418",2024,76
"840000418",2025,94
"840000467",2021,89
"840000467",2022,75
"840000467",2023,81
"840000467",2024,70
"840000467",2025,46
"850000118",2021,12
"850000118",2022,25
"850000118",2023,42
