"finessGeoDP","annee","vda","n","pct"
"060000478",2022,"COE",28,100
"060000478",2023,"COE",34,100
"060000478",2024,"COE",25,100
"060000478",2025,"COE",9,100
"060000510",2021,"COE",118,99.2
"060000510",2021,"ROB",1,0.8
"060000510",2022,"COE",105,98.1
"060000510",2022,"LAP",2,1.9
"060000510",2023,"COE",78,100
"060000510",2024,"COE",88,100
"060000510",2025,"COE",36,100
"060021417",2021,"COE",75,97.4
"060021417",2021,"ROB",2,2.6
"060021417",2022,"COE",68,91.9
"060021417",2022,"ROB",6,8.1
"060021417",2023,"COE",91,98.9
"060021417",2023,"ROB",1,1.1
"060021417",2024,"COE",81,97.6
"060021417",2024,"ROB",2,2.4
"060021417",2025,"COE",40,100
"060780491",2021,"COE",72,78.3
"060780491",2021,"ROB",20,21.7
"060780491",2022,"COE",86,97.7
"060780491",2022,"ROB",2,2.3
"060780491",2023,"COE",55,88.7
"060780491",2023,"LAP",1,1.6
"060780491",2023,"ROB",6,9.7
"060780491",2024,"COE",82,85.4
"060780491",2024,"ROB",14,14.6
"060780491",2025,"COE",33,48.5
"060780491",2025,"ROB",35,51.5
"060780590",2021,"COE",76,96.2
"060780590",2021,"ROB",3,3.8
"060780590",2022,"COE",58,96.7
"060780590",2022,"ROB",2,3.3
"060780590",2023,"COE",33,100
"060780590",2024,"COE",49,96.1
"060780590",2024,"ROB",2,3.9
"060780590",2025,"COE",8,61.5
"060780590",2025,"ROB",5,38.5
"060780715",2021,"COE",84,100
"060780715",2022,"COE",69,100
"060780715",2023,"COE",17,23.9
"060780715",2023,"ROB",54,76.1
"060780715",2024,"COE",5,11.9
"060780715",2024,"LAP",1,2.4
"060780715",2024,"ROB",36,85.7
"060780715",2025,"COE",16,26.7
"060780715",2025,"LAP",1,1.7
"060780715",2025,"ROB",43,71.7
"060789195",2021,"COE",194,99.5
"060789195",2021,"LAP",1,0.5
"060789195",2022,"COE",221,100
"060789195",2023,"COE",185,98.4
"060789195",2023,"LAP",2,1.1
"060789195",2023,"ROB",1,0.5
"060789195",2024,"COE",92,83.6
"060789195",2024,"ROB",18,16.4
"060789195",2025,"COE",21,51.2
"060789195",2025,"ROB",20,48.8
"060800166",2021,"COE",34,100
"060800166",2022,"COE",32,97
"060800166",2022,"LAP",1,3
"060800166",2023,"COE",29,90.6
"060800166",2023,"LAP",1,3.1
"060800166",2023,"ROB",2,6.2
"060800166",2024,"COE",10,100
"060800166",2025,"COE",4,80
"060800166",2025,"LAP",1,20
"070780424",2021,"COE",114,100
"070780424",2022,"COE",117,98.3
"070780424",2022,"LAP",2,1.7
"070780424",2023,"COE",89,97.8
"070780424",2023,"LAP",2,2.2
"070780424",2024,"COE",75,88.2
"070780424",2024,"LAP",2,2.4
"070780424",2024,"ROB",8,9.4
"070780424",2025,"COE",53,93
"070780424",2025,"LAP",2,3.5
"070780424",2025,"ROB",2,3.5
"080010473",2021,"COE",135,100
"080010473",2022,"COE",121,100
"080010473",2023,"COE",119,100
"080010473",2024,"COE",111,100
"080010473",2025,"COE",52,100
"100000082",2021,"COE",107,100
"100000082",2022,"COE",46,100
"100000124",2021,"COE",103,100
"100000124",2022,"COE",160,99.4
"100000124",2022,"LAP",1,0.6
"100000124",2023,"COE",127,100
"100000124",2024,"COE",76,100
"100000124",2025,"COE",61,100
"100010818",2021,"COE",24,100
"100010818",2022,"COE",48,100
"100010818",2023,"COE",100,100
"100010818",2024,"COE",91,100
"110000023",2021,"COE",103,100
"110000023",2022,"COE",102,99
"110000023",2022,"LAP",1,1
"110000023",2023,"COE",106,100
"110000023",2024,"COE",88,98.9
"110000023",2024,"LAP",1,1.1
"110000023",2025,"COE",79,100
"110000056",2021,"COE",41,91.1
"110000056",2021,"ROB",4,8.9
"110000056",2022,"COE",48,94.1
"110000056",2022,"LAP",1,2
"110000056",2022,"ROB",2,3.9
"110000056",2023,"COE",34,97.1
"110000056",2023,"LAP",1,2.9
"110000056",2024,"COE",41,100
"110000056",2025,"COE",18,100
"130000409",2021,"COE",36,100
"130000409",2022,"COE",56,100
"130000409",2023,"COE",49,100
"130000409",2024,"COE",32,100
"130000409",2025,"COE",25,100
"130001225",2021,"COE",57,100
"130001225",2022,"COE",73,98.6
"130001225",2022,"LAP",1,1.4
"130001225",2023,"COE",58,100
"130001225",2024,"COE",48,100
"130001225",2025,"COE",27,96.4
"130001225",2025,"LAP",1,3.6
"130043664",2021,"COE",266,94.7
"130043664",2021,"LAP",10,3.6
"130043664",2021,"ROB",5,1.8
"130043664",2022,"COE",201,96.2
"130043664",2022,"LAP",1,0.5
"130043664",2022,"ROB",7,3.3
"130043664",2023,"COE",175,85.8
"130043664",2023,"LAP",4,2
"130043664",2023,"ROB",25,12.3
"130043664",2024,"COE",195,87.8
"130043664",2024,"ROB",27,12.2
"130043664",2025,"COE",96,69.1
"130043664",2025,"ROB",43,30.9
"130780521",2021,"COE",71,97.3
"130780521",2021,"LAP",1,1.4
"130780521",2021,"ROB",1,1.4
"130780521",2022,"COE",50,98
"130780521",2022,"LAP",1,2
"130780521",2023,"COE",68,97.1
"130780521",2023,"ROB",2,2.9
"130780521",2024,"COE",85,85
"130780521",2024,"LAP",1,1
"130780521",2024,"ROB",14,14
"130780521",2025,"COE",35,72.9
"130780521",2025,"ROB",13,27.1
"130781479",2021,"COE",120,88.2
"130781479",2021,"ROB",16,11.8
"130781479",2022,"COE",123,83.1
"130781479",2022,"ROB",25,16.9
"130781479",2023,"COE",112,77.8
"130781479",2023,"ROB",32,22.2
"130781479",2024,"COE",120,84.5
"130781479",2024,"ROB",22,15.5
"130781479",2025,"COE",60,75.9
"130781479",2025,"ROB",19,24.1
"130782162",2021,"COE",121,100
"130782162",2022,"COE",114,97.4
"130782162",2022,"ROB",3,2.6
"130782162",2023,"COE",92,93.9
"130782162",2023,"ROB",6,6.1
"130782162",2024,"COE",85,98.8
"130782162",2024,"ROB",1,1.2
"130782162",2025,"COE",64,100
"130783236",2021,"COE",9,7.2
"130783236",2021,"LAP",1,0.8
"130783236",2021,"ROB",115,92
"130783236",2022,"COE",13,10.2
"130783236",2022,"ROB",115,89.8
"130783236",2023,"ROB",115,100
"130783236",2024,"COE",9,18.8
"130783236",2024,"ROB",39,81.2
"130783236",2025,"ROB",18,100
"130783327",2021,"COE",160,97.6
"130783327",2021,"LAP",4,2.4
"130783327",2022,"COE",230,100
"130783327",2023,"COE",222,99.1
"130783327",2023,"LAP",2,0.9
"130783327",2024,"COE",248,100
"130783327",2025,"COE",147,99.3
"130783327",2025,"LAP",1,0.7
"130784051",2021,"COE",74,98.7
"130784051",2021,"LAP",1,1.3
"130784051",2022,"COE",48,100
"130784051",2023,"COE",52,98.1
"130784051",2023,"LAP",1,1.9
"130784051",2024,"COE",14,87.5
"130784051",2024,"ROB",2,12.5
"130785652",2021,"COE",97,97
"130785652",2021,"LAP",2,2
"130785652",2021,"ROB",1,1
"130785652",2022,"COE",94,98.9
"130785652",2022,"LAP",1,1.1
"130785652",2023,"COE",98,99
"130785652",2023,"ROB",1,1
"130785652",2024,"COE",97,94.2
"130785652",2024,"ROB",6,5.8
"130785652",2025,"COE",43,86
"130785652",2025,"LAP",3,6
"130785652",2025,"ROB",4,8
"130786361",2021,"COE",218,83.2
"130786361",2021,"ROB",44,16.8
"130786361",2022,"COE",252,95.8
"130786361",2022,"ROB",11,4.2
"130786361",2023,"COE",262,95.6
"130786361",2023,"ROB",12,4.4
"130786361",2024,"COE",261,96.7
"130786361",2024,"ROB",9,3.3
"130786361",2025,"COE",144,96.6
"130786361",2025,"ROB",5,3.4
"130786742",2021,"COE",41,100
"130786742",2022,"COE",32,94.1
"130786742",2022,"LAP",2,5.9
"130786742",2023,"COE",44,95.7
"130786742",2023,"LAP",1,2.2
"130786742",2023,"ROB",1,2.2
"130786742",2024,"COE",41,100
"130786742",2025,"COE",24,100
"130810740",2021,"COE",148,93.7
"130810740",2021,"LAP",2,1.3
"130810740",2021,"ROB",8,5.1
"130810740",2022,"COE",143,98.6
"130810740",2022,"LAP",2,1.4
"130810740",2023,"COE",141,100
"130810740",2024,"COE",120,100
"130810740",2025,"COE",73,100
"140000209",2021,"COE",171,96.6
"140000209",2021,"LAP",1,0.6
"140000209",2021,"ROB",5,2.8
"140000209",2022,"COE",185,92
"140000209",2022,"LAP",1,0.5
"140000209",2022,"ROB",15,7.5
"140000209",2023,"COE",177,93.7
"140000209",2023,"LAP",3,1.6
"140000209",2023,"ROB",9,4.8
"140000209",2024,"COE",95,100
"140000209",2025,"COE",47,97.9
"140000209",2025,"ROB",1,2.1
"140000290",2021,"COE",52,100
"140000290",2022,"COE",49,100
"140016759",2021,"COE",152,99.3
"140016759",2021,"LAP",1,0.7
"140016759",2022,"COE",140,100
"140016759",2023,"COE",100,99
"140016759",2023,"LAP",1,1
"140016759",2024,"COE",88,100
"140016759",2025,"COE",57,100
"140017237",2021,"COE",49,100
"140017237",2022,"COE",51,100
"140017237",2023,"COE",44,100
"140017237",2024,"COE",61,100
"140017237",2025,"COE",36,100
"140018730",2022,"LAP",1,100
"140018730",2023,"COE",39,100
"140018730",2024,"COE",59,100
"140018730",2025,"COE",20,100
"160000253",2021,"COE",49,100
"160000253",2022,"COE",33,100
"160000253",2023,"COE",24,47.1
"160000253",2023,"ROB",27,52.9
"160000253",2024,"COE",27,62.8
"160000253",2024,"ROB",16,37.2
