"finessGeoDP","annee","baria_t","n","pct"
"050000348",2023,"SLE",26,83.9
"050000348",2024,"BPG",15,29.4
"050000348",2024,"SLE",36,70.6
"050000348",2025,"BPG",5,26.3
"050000348",2025,"SLE",14,73.7
"060000478",2021,"BPG",6,16.2
"060000478",2021,"SLE",31,83.8
"060000478",2022,"BPG",10,35.7
"060000478",2022,"SLE",18,64.3
"060000478",2023,"BPG",14,41.2
"060000478",2023,"SLE",20,58.8
"060000478",2024,"BPG",5,20
"060000478",2024,"SLE",20,80
"060000478",2025,"BPG",2,22.2
"060000478",2025,"SLE",7,77.8
"060000510",2021,"BPG",97,81.5
"060000510",2021,"SLE",22,18.5
"060000510",2022,"BPG",84,78.5
"060000510",2022,"SLE",23,21.5
"060000510",2023,"BPG",56,71.8
"060000510",2023,"SLE",22,28.2
"060000510",2024,"BPG",74,84.1
"060000510",2024,"SLE",14,15.9
"060000510",2025,"BPG",26,72.2
"060000510",2025,"SLE",10,27.8
"060021417",2021,"ANN",1,1.3
"060021417",2021,"BPG",41,53.2
"060021417",2021,"SLE",35,45.5
"060021417",2022,"BPG",40,54.1
"060021417",2022,"SLE",34,45.9
"060021417",2023,"BPG",43,46.7
"060021417",2023,"SLE",49,53.3
"060021417",2024,"ANN",2,2.4
"060021417",2024,"BPG",37,44.6
"060021417",2024,"SLE",44,53
"060021417",2025,"BPG",25,62.5
"060021417",2025,"SLE",15,37.5
"060780491",2021,"BPG",18,19.6
"060780491",2021,"DBP",2,2.2
"060780491",2021,"SLE",72,78.3
"060780491",2022,"BPG",46,52.3
"060780491",2022,"SLE",42,47.7
"060780491",2023,"BPG",43,69.4
"060780491",2023,"SLE",19,30.6
"060780491",2024,"ANN",1,1
"060780491",2024,"BPG",55,57.3
"060780491",2024,"DBP",1,1
"060780491",2024,"SLE",39,40.6
"060780491",2025,"BPG",35,51.5
"060780491",2025,"SLE",33,48.5
"060780590",2021,"ANN",1,1.3
"060780590",2021,"BPG",33,41.8
"060780590",2021,"SLE",45,57
"060780590",2022,"BPG",27,45
"060780590",2022,"SLE",33,55
"060780590",2023,"BPG",25,75.8
"060780590",2023,"SLE",8,24.2
"060780590",2024,"BPG",34,66.7
"060780590",2024,"SLE",17,33.3
"060780590",2025,"BPG",11,84.6
"060780590",2025,"SLE",2,15.4
"060780715",2021,"BPG",5,6
"060780715",2021,"SLE",79,94
"060780715",2022,"BPG",3,4.3
"060780715",2022,"SLE",66,95.7
"060780715",2023,"BPG",12,16.9
"060780715",2023,"SLE",59,83.1
"060780715",2024,"BPG",7,16.7
"060780715",2024,"DBP",2,4.8
"060780715",2024,"SLE",33,78.6
"060780715",2025,"BPG",10,16.7
"060780715",2025,"SLE",50,83.3
"060789195",2021,"BPG",63,32.3
"060789195",2021,"SLE",132,67.7
"060789195",2022,"BPG",92,41.6
"060789195",2022,"SLE",129,58.4
"060789195",2023,"BPG",90,47.9
"060789195",2023,"SLE",98,52.1
"060789195",2024,"BPG",38,34.5
"060789195",2024,"SLE",72,65.5
"060789195",2025,"BPG",11,26.8
"060789195",2025,"SLE",30,73.2
"060800166",2021,"BPG",11,32.4
"060800166",2021,"SLE",23,67.6
"060800166",2022,"BPG",19,57.6
"060800166",2022,"SLE",14,42.4
"060800166",2023,"BPG",9,28.1
"060800166",2023,"SLE",23,71.9
"060800166",2024,"BPG",6,60
"060800166",2024,"SLE",4,40
"060800166",2025,"BPG",4,80
